index,text,id,username,retweets,favorites,mentions,hashtags,geo,permalink
2017-01-07 18:52:49,#ChicagoSunTimes Greta Gerwig goes punk in ' 20th Century Women '. Read Blog: http:// owler.us/ab23Nv,817881706602450944,,0,0,,#ChicagoSunTimes,,https://twitter.com/movies_ent/status/817881706602450944
2017-01-07 18:50:25,#20thCenturyWomen pic.twitter.com/trgABZg08x,817881105042915329,,0,0,,#20thCenturyWomen,,https://twitter.com/inac88/status/817881105042915329
2017-01-07 18:41:42,I'm excited to see it on the big screen. Have only viewed at home. Looking at JACKIE or 20TH CENTURY WOMEN for 1/23.,817878909660332032,,0,0,,,,https://twitter.com/EdwinArnaudin/status/817878909660332032
2017-01-07 18:33:17,Checkout http://www. giddistudios.com #Giddistudios Lucas Jade Zumann of 20th Century Women at BAFTALA tea. pic.twitter.com/WMkYjRBw9x,817876791994023938,,0,0,,#Giddistudios,,https://twitter.com/iamlmbanks/status/817876791994023938
2017-01-07 18:23:58,Lucas Jade Zumann of 20th Century Women at @BAFTALA tea. pic.twitter.com/jDaIdE7aSm,817874446996230144,,1,5,@BAFTALA,,,https://twitter.com/akstanwyck/status/817874446996230144
2017-01-07 18:20:49,"trailer for 2 films I'd kind of written off, ( #20thCenturyWomen and #JackieFilm ) came on and are both amazing trailers, I'm in, then r1...",817873653950017537,,0,0,,#20thCenturyWomen #JackieFilm,,https://twitter.com/TheLlamaBlogs/status/817873653950017537
2017-01-07 18:12:47,"Silence, A Monster Calls, 20th Century Women , Patriots Day and The Founder.",817871635000754176,,0,1,,,,https://twitter.com/MayorOfTV/status/817871635000754176
2017-01-07 18:08:46,"How to have the perfect day: See 20th Century Women , don't pass Go, and then have pizza at Rubirosa.",817870624676782081,,0,1,,,,https://twitter.com/fiona_gibb/status/817870624676782081
2017-01-07 17:54:57,"NOMINEES in @goldenglobes BEST PICTURE, COMEDY OR MUSICAL 20th Century Women | Deadpool | Florence Foster Jenkins | La La Land | Sing Street",817867145019166721,,0,0,@goldenglobes,,,https://twitter.com/xoxo_maemai/status/817867145019166721
2017-01-07 17:31:06,"even tho i dont condone pirating videos for indie films like moonlight, 20th century women etc, i understand people's predicaments +",817861142307598336,,0,1,,,,https://twitter.com/ClNEMAHOE/status/817861142307598336
2017-01-07 17:27:39,Everyone go watch 20th Century Women it made me excited to live my life,817860277769121792,,3,6,,,,https://twitter.com/hunnylavender/status/817860277769121792
2017-01-07 17:12:25,Just saw #HiddenFigures powerful 4 all women - Hope youngr generation will see it & learn wat it was like way back n 20th century ! @Pupp_Will,817856440958386178,,4,4,@Pupp_Will,#HiddenFigures,,https://twitter.com/Charenity/status/817856440958386178
2017-01-07 17:06:43,My 20 Favorite Films of 2016... 11) The Dreamed Path 11) Louder Than Bombs 13) Paterson 14) 20th Century Women 15) Manchester by the Sea,817855007261360128,,0,1,,,,https://twitter.com/JMMandel/status/817855007261360128
2017-01-07 17:01:24,20th Century Women is a beautifully captured crossroad in American history that everyone in 2017 should go see NOW.,817853671002099712,,0,1,,,,https://twitter.com/wharkwhampanin/status/817853671002099712
2017-01-07 16:56:27,"I would make it mandatory to see 20th Century Women if I could, great film",817852423276412928,,0,1,,,,https://twitter.com/synthsitive/status/817852423276412928
2017-01-07 16:51:14,let me watch 20th century women already.. pic.twitter.com/kzsQ1u3AsT,817851111231066112,,0,2,,,,https://twitter.com/andreshjimenezz/status/817851111231066112
2017-01-07 16:47:54,"Best Actress, Musical/Comedy will win: Emma Stone for La La Land could win: Annette Bening for 20th Century Women",817850270679973889,,0,0,,,,https://twitter.com/bigdaddypateI/status/817850270679973889
2017-01-07 16:45:14,20TH CENTURY WOMEN is an exploration of feminism through the male gaze as a young man gets to see women of various ages have full autonomy.,817849601843597313,,0,0,,,,https://twitter.com/swiftlyinflight/status/817849601843597313
2017-01-07 16:45:12,We're giving away advance tix to Mike Mills' beguiling #20thCenturyWomen : http:// trib.al/teO58Pl pic.twitter.com/ONS94oiYwL,817849594575028224,,0,13,,#20thCenturyWomen,,https://twitter.com/Collider/status/817849594575028224
2017-01-07 16:34:27,20th Century Women (2016) pic.twitter.com/L8CjGc51x5,817846885423661056,,0,0,,,,https://twitter.com/nathanfrontiero/status/817846885423661056
