index,text,id,username,retweets,favorites,mentions,hashtags,geo,permalink
2017-06-07 19:58:05,#ChoiceSummerMovie for me is baywatch,872603600123514880,,0,0,,#ChoiceSummerMovie,,https://twitter.com/DarcyMK/status/872603600123514880
2017-06-07 19:56:45,Gostei de um vídeo @YouTube http:// youtu.be/GSEYK4r-C7I?aH ugo … Gloss entrevista o elenco de Baywatch,872603264747024384,,0,0,@YouTube,,,https://twitter.com/grazylyn/status/872603264747024384
2017-06-07 19:56:38,#ChoiceSummerMovie #Baywatch https:// twitter.com/teenchoicefox/ status/872591503482171392 …,872603235680268289,,0,0,,#ChoiceSummerMovie #Baywatch,,https://twitter.com/DSYLMdeserves/status/872603235680268289
2017-06-07 19:55:41,"This week is Baywatch and Guardians of the Galaxy 2, but I'll let ya know what's coming up next when I know :)",872602998936961024,,0,2,,,,https://twitter.com/satinsolace/status/872602998936961024
2017-06-07 19:55:30,"Punta Sal es el lugar ideal para ver los abs de @ZacEfron . @VisitPeru y #VamosPalNorte . Baywatch : #GuardianesDeLaBahía , jueves 15 en cines. pic.twitter.com/jphBsjtqVV",872602952334049280,,3,9,@ZacEfron @VisitPeru,#VamosPalNorte #GuardianesDeLaBahía,,https://twitter.com/fansdelcine/status/872602952334049280
2017-06-07 19:54:53,@MovieTickets This one's for the girls! Follow & RT for a chance to win this #Baywatch prize pack! (ends 6/9 at 12:00PM ET rules,872602795421126656,,0,0,@MovieTickets,#Baywatch,,https://twitter.com/kimberleyshowes/status/872602795421126656
2017-06-07 19:53:11,I saw Baywatch and I wasn't expecting Belinda to appear as a cameo.,872602368529108992,,1,1,,,,https://twitter.com/Fatedsong/status/872602368529108992
2017-06-07 19:52:32,My #TeenChoice nominee for #ChoiceMovieVillain is @priyankachopra #Baywatch @TeenChoiceFOX pic.twitter.com/yqlO7Xvoj2,872602204955455488,,5,6,@priyankachopra @TeenChoiceFOX,#TeenChoice #ChoiceMovieVillain #Baywatch,,https://twitter.com/StacySuperDuper/status/872602204955455488
2017-06-07 19:52:22,Nooo it's baywatch Zac Efron,872602162878074880,,0,0,,,,https://twitter.com/lilbarryboo/status/872602162878074880
2017-06-07 19:51:04,Baywatch is funny!!!,872601836464865280,,0,1,,,,https://twitter.com/albanie_smith/status/872601836464865280
2017-06-07 19:49:27,I'm cosplaying to go see Baywatch pic.twitter.com/mB9Wz2onfa,872601428363227137,,1,5,,,,https://twitter.com/pftrobes/status/872601428363227137
2017-06-07 19:48:59,◆全米デイリーTOP10 [6/6] [順] 4位 [題] BAYWATCH Paramount #BoxOffice #映画 pic.twitter.com/R5CQKr1P95,872601312520617985,,0,0,,#BoxOffice #映画,,https://twitter.com/movrank/status/872601312520617985
2017-06-07 19:48:54,I saw Baywatch last night. It had some fatal flaws the worst I think was not enough shirtless @TheRock,872601292086026240,,0,0,@TheRock,,,https://twitter.com/Rapidacks/status/872601292086026240
2017-06-07 19:47:32,Tengo demasiadas ganas de ver Baywatch,872600947981266944,,0,0,,,,https://twitter.com/ScarletLevine/status/872600947981266944
2017-06-07 19:47:21,— watching Baywatch Movie at C3 Centre http:// fb.me/1z19dA3cI,872600898823958529,,0,0,,,,https://twitter.com/AnisaRamkissoon/status/872600898823958529
