index,text,id,username,retweets,favorites,mentions,hashtags,geo,permalink
2017-11-02 19:54:23,Click to #Win a @geostormmovie #Geostorm Merchandise pack with @BlazingMinds https:// blazingminds.co.uk/win-geostorm-m erchandise-goody-pack/ …,926236074053066752,,1,0,@geostormmovie @BlazingMinds,#Win #Geostorm,,https://twitter.com/pma1961/status/926236074053066752
2017-11-02 19:50:08,"I added a video to a @YouTube playlist http:// youtu.be/3zzyoZwvHKw?a Dolan & Gooby Review "" Geostorm "" (2017)",926235004564275201,,0,0,@YouTube,,,https://twitter.com/michelous/status/926235004564275201
2017-11-02 19:49:59,We had two showings for geostorm today and no one showed up,926234966207365120,,0,1,,,,https://twitter.com/BowIOfGames/status/926234966207365120
2017-11-02 19:49:25,The Saw franchise got milked to death and Geostorm just looks extremely bad,926234826147090432,,0,1,,,,https://twitter.com/BeanSeller3D/status/926234826147090432
2017-11-02 19:49:07,GEOSTORM 2017 dean devlin 3/10 pic.twitter.com/Y5gY4xB3oU,926234748812431360,,0,0,,,,https://twitter.com/mountaintwins/status/926234748812431360
2017-11-02 19:49:00,"Dolan & Gooby Review "" Geostorm "" (2017) https:// youtu.be/3zzyoZwvHKw via @YouTube",926234720878329856,,0,0,@YouTube,,,https://twitter.com/pan121_tadeo/status/926234720878329856
2017-11-02 19:48:53,Le film geostorm il est wow,926234689723142145,,0,0,,,,https://twitter.com/melcabello_/status/926234689723142145
2017-11-02 19:46:53,"might as wel throw in Geostorm and jigsaw, fuck those movies as well",926234186356314112,,0,3,,,,https://twitter.com/BowIOfGames/status/926234186356314112
2017-11-02 19:46:41,J’ai été entraîné dans Geostorm : mauvaise idée...,926234137857613824,,0,0,,,,https://twitter.com/Ess_kara/status/926234137857613824
2017-11-02 19:43:27,Click to #win movie merchandise with Geostorm with @HeyUGuys https://www. heyuguys.com/win-movie-merc handise-geostorm/ …,926233324166754304,,0,0,@HeyUGuys,#win,,https://twitter.com/wanaxs21/status/926233324166754304
2017-11-02 19:43:19,I'm watching Geostorm (2017) https:// trakt.tv/movies/geostor m-2017 … #trakt,926233288481624065,,0,0,,#trakt,,https://twitter.com/pikalbert/status/926233288481624065
2017-11-02 19:43:02,"Geostorm (@IMAX @CineHoyts Plaza Egaña in La Reina, Santiago Metropolitan) https://www. swarmapp.com/c/1FmiD25HKUS",926233219531464707,,0,0,@IMAX @CineHoyts,,,https://twitter.com/pikalbert/status/926233219531464707
2017-11-02 19:41:31,"I liked a @YouTube video http:// youtu.be/3zzyoZwvHKw?a Dolan & Gooby Review "" Geostorm "" (2017)",926232838286045184,,0,0,@YouTube,,,https://twitter.com/Clearcat_Meow/status/926232838286045184
2017-11-02 19:40:44,GeoStorm = v good,926232641032146944,,0,0,,,,https://twitter.com/1alicejones/status/926232641032146944
2017-11-02 19:39:54,Click to #Win a @geostormmovie #Geostorm Merchandise pack with @BlazingMinds https:// blazingminds.co.uk/win-geostorm-m erchandise-goody-pack/ …,926232429223862274,,0,0,@geostormmovie @BlazingMinds,#Win #Geostorm,,https://twitter.com/charrliexbeex/status/926232429223862274
2017-11-02 19:39:13,"For all you #ClimateChange deniers out there, @GeostormMovie is NOT a documentary! #Geostorm",926232255898443776,,1,1,@GeostormMovie,#ClimateChange #Geostorm,,https://twitter.com/CAMarijuana2016/status/926232255898443776
2017-11-02 19:32:40,Click to #win movie merchandise with Geostorm with @HeyUGuys https://www. heyuguys.com/win-movie-merc handise-geostorm/ …,926230610712154112,,0,0,@HeyUGuys,#win,,https://twitter.com/davidcavender2/status/926230610712154112
2017-11-02 19:32:30,GEOSTORM 2017| Trailer | Legendado HD https:// youtu.be/t45_i5k-R_Q via @YouTube,926230567741517824,,0,0,@YouTube,,,https://twitter.com/GamerLouco13/status/926230567741517824
2017-11-02 19:28:43,Click to #win movie merchandise with Geostorm with @HeyUGuys https://www. heyuguys.com/win-movie-merc handise-geostorm/ …,926229614959235072,,0,0,@HeyUGuys,#win,,https://twitter.com/LastPennies/status/926229614959235072
2017-11-02 19:28:33,watching Geostorm 3D,926229575264124928,,0,0,,,,https://twitter.com/10492/status/926229575264124928
2017-11-02 19:28:06,Click to #Win a @geostormmovie #Geostorm Merchandise pack with @BlazingMinds https:// blazingminds.co.uk/win-geostorm-m erchandise-goody-pack/ …,926229460365352961,,0,0,@geostormmovie @BlazingMinds,#Win #Geostorm,,https://twitter.com/LastPennies/status/926229460365352961
2017-11-02 19:26:11,Saw Geostorm and the people behind me were legitimately crying at the end. I was too - it was a great movie!,926228979136237568,,0,6,,,,https://twitter.com/MaximumOlsen/status/926228979136237568
2017-11-02 19:25:48,The conclusion of Geostorm is up.,926228882176520192,,0,0,,,,https://twitter.com/theloladass/status/926228882176520192
2017-11-02 19:25:23,"Watched Jigsaw movie last night with my man @yorenzyyy lol kery lng Next in line, #Geostorm pic.twitter.com/TQWEcNnKnB",926228775645229056,,0,0,@yorenzyyy,#Geostorm,,https://twitter.com/Manijca/status/926228775645229056
2017-11-02 19:22:59,"I liked a @YouTube video http:// youtu.be/3zzyoZwvHKw?a Dolan & Gooby Review "" Geostorm "" (2017)",926228172483506181,,0,0,@YouTube,,,https://twitter.com/James_E_Carter/status/926228172483506181
2017-11-02 19:19:07,Quero ir ver o Geostorm o trailer ta bué porreiro!,926227197936984064,,0,0,,,,https://twitter.com/oanaroxana16/status/926227197936984064
2017-11-02 19:18:59,"#Geostorm is like the rancid leftover spaghetti in your fridge. Is smells so fucking bad, but you want someone else to smell it to be sure.",926227164642635778,,0,0,,#Geostorm,,https://twitter.com/egyptolojohn/status/926227164642635778
2017-11-02 19:17:58,#Geostorm the Dutchman self-destructs in outer space. 6 months later all systems back up & theyre working on repairs. Um ok.,926226909599584256,,0,0,,#Geostorm,,https://twitter.com/egyptolojohn/status/926226909599584256
2017-11-02 19:17:40,"Not gonna lie, I actually enjoyed #Geostorm . For all its stupidity and cheesy special effects, it was great popcorn fun. Not too serious",926226833527492615,,0,0,,#Geostorm,,https://twitter.com/tommsmith1993/status/926226833527492615
2017-11-02 19:15:44,"#Geostorm after Dubai floods and the Dutchman gets reset, the flood waters instantly recede. That's not how it works, bro.",926226346979807232,,0,1,,#Geostorm,,https://twitter.com/egyptolojohn/status/926226346979807232
2017-11-02 19:15:00,Geostorm Review: The Fate of Planet Earth Lies On Gerard Butler https:// matiuadex.com/2017/10/21/geo storm-review-the-fate-of-planet-earth-lies-on-gerard-butler/ … pic.twitter.com/sV6r75yQZT,926226165303468032,,0,1,,,,https://twitter.com/matiuadex/status/926226165303468032
2017-11-02 19:13:37,Geostorm is definitely going in my list of fave disaster movies,926225815318286336,,0,0,,,,https://twitter.com/ninjadudee_/status/926225815318286336
2017-11-02 19:13:12,#Geostorm also lots of little fuckups and enough plot holes to trigger someone with trypophobia.,926225711383371776,,0,0,,#Geostorm,,https://twitter.com/egyptolojohn/status/926225711383371776
2017-11-02 19:12:52,"I liked a @YouTube video http:// youtu.be/3zzyoZwvHKw?a Dolan & Gooby Review "" Geostorm "" (2017)",926225628461924360,,0,0,@YouTube,,,https://twitter.com/WitchAngelNeko/status/926225628461924360
2017-11-02 19:12:12,TOP 10 PROV 1-THOR RAGNAROK 2-MARROWBONE 3-BLADE RUNNER 4-TOC TOC 5-ANNABELLE 6- GEOSTORM 7-VIDA BORGOÑA 8-RAPHAEL 9-HANDIA 10-MUÑECO NIEVE,926225458521432064,,2,4,,,,https://twitter.com/cSMoviesSpain/status/926225458521432064
2017-11-02 19:12:07,"I liked a @YouTube video http:// youtu.be/3zzyoZwvHKw?a Dolan & Gooby Review "" Geostorm "" (2017)",926225435935105024,,0,0,@YouTube,,,https://twitter.com/MauriceBear21/status/926225435935105024
2017-11-02 19:11:47,"Dolan & Gooby Review "" Geostorm "" (2017): http:// youtu.be/3zzyoZwvHKw?a via @YouTube",926225353856733190,,2,26,@YouTube,,,https://twitter.com/ThePlanetDolan/status/926225353856733190
2017-11-02 19:11:17,I rated Geostorm (2017) 4/10 #IMDb http://www. imdb.com/title/tt1981128,926225227092242440,,0,1,,#IMDb,,https://twitter.com/JamesHancock11/status/926225227092242440
2017-11-02 19:10:16,@CordyPatrick #GTLive Steph have you seen Geostorm,926224974179917829,,0,0,@CordyPatrick,#GTLive,,https://twitter.com/DanielOlaAbido1/status/926224974179917829
2017-11-02 19:09:54,"Quote from Geostorm : ""This [satellite] isn't just like a Chromebook, you can't just hold your finger on the power button""",926224878289719296,,1,10,,,,https://twitter.com/scottisafool/status/926224878289719296
2017-11-02 19:09:38,worst movies of 2017 that I’ve seen so far: Boo 2 Tragedy Girls Geostorm 50 Shades Emoji Movie Victoria & Abdul Snowman Jigsaw Bad Moms Okja,926224813663719424,,0,4,,,,https://twitter.com/hickoryburger/status/926224813663719424
2017-11-02 19:08:49,My review of Geostorm : pic.twitter.com/HUsYdProdr,926224608885428225,,0,9,,,,https://twitter.com/BlindDateBaby/status/926224608885428225
