index,text,id,username,retweets,favorites,mentions,hashtags,geo,permalink
2017-03-09 18:59:59,Get out ! https:// twitter.com/blackpplvines/ status/839978844539015168 …,839989172198899713,,0,0,,,,https://twitter.com/jThatoneguy/status/839989172198899713
2017-03-09 11:31:22,Ain't this the truest thing about blackness in #GetOut how black women be in the fight long before we get the flash to join in.,839876275565170688,,443,796,,#GetOut,,https://twitter.com/Wordplay4Days/status/839876275565170688
2017-03-08 19:51:14,They got one . #GetOut pic.twitter.com/dVGBAiZNdl,839639681209942016,,10085,16448,,#GetOut,,https://twitter.com/Lando_1207/status/839639681209942016
2017-03-09 18:59:56,"If you haven't seen Get Out , it's on 123movies. You're welcome. :)",839989160744120320,,1,2,,,,https://twitter.com/aliahdenny/status/839989160744120320
2017-03-09 18:59:55,i needa see get out .,839989155153207299,,0,0,,,,https://twitter.com/clitorispatra/status/839989155153207299
2017-02-28 21:58:37,get out (2017) pic.twitter.com/q5WQcjVWEI,836772636612927488,,1194,1698,,,,https://twitter.com/chulomang/status/836772636612927488
2017-03-09 18:59:54,UH GET OUT OF THAT HOUSE RIGHT NOW,839989148962430976,,0,0,,,,https://twitter.com/devilkmikaelson/status/839989148962430976
2017-03-09 18:59:49,get out is crazy af ..........,839989128213233667,,0,0,,,,https://twitter.com/nvomi_/status/839989128213233667
2017-03-09 18:59:46,Watching ' Get Out ' out on my phone while smokin a wood got me trippin .,839989117056241664,,0,2,,,,https://twitter.com/iAm_Amari/status/839989117056241664
2017-03-09 18:59:45,"In 1915, ""Birth of a Nation"" warned white women against ""race-mixing"". In 2017, "" Get Out "" does the same for black men.",839989111318597634,,0,0,,,,https://twitter.com/BorealSpirit/status/839989111318597634
2017-03-09 18:59:43,Like my 3rd time going to see Get Out,839989104691597313,,0,0,,,,https://twitter.com/hugsneedhugs/status/839989104691597313
2017-03-09 18:59:42,First I get out of the shower and Kenzie's on my couch with my whole family now she's downstairs chatting with Tim I love it,839989098962132992,,0,9,,,,https://twitter.com/__allisonn_/status/839989098962132992
2017-03-09 18:59:41,I need help. I've had my jaws wired shut for 6 weeks. I have 17 screws in my mouth now I get out tomorrow. 8 weeks they been in....,839989098215546880,,0,0,,,,https://twitter.com/Mark_Adrian9/status/839989098215546880
2017-03-09 18:59:41,"Riddle me this, why do men spend the first 9 months of our lives trying to get out of what we spend the rest of our lives to get into?",839989097305391105,,0,4,,,,https://twitter.com/shmulian/status/839989097305391105
2017-03-09 18:59:37,#Radionomy #TuneIn #Nowplaying #Bob Seger #Get Out of Denver (Live) http:// listen.radionomy.com/radiorock-blues,839989080125558785,,0,0,,#Radionomy #TuneIn #Nowplaying #Bob #Get,,https://twitter.com/RadioRockyBlues/status/839989080125558785
2017-03-09 18:59:36,If ANYONE hasn't seen Get Out and wants to. I got da link,839989077537615872,,0,1,,,,https://twitter.com/__beysus/status/839989077537615872
2017-03-09 18:59:34,Just want to be sure we don't end up with RINOcare. Govt should get out of ins business.,839989066586312704,,0,0,,,,https://twitter.com/boomer2748/status/839989066586312704
2017-03-09 18:59:32,Still haven't seen get out,839989059292299267,,0,0,,,,https://twitter.com/_elisaaaaa_/status/839989059292299267
2017-03-09 18:59:31,I wanted to watch get out ...,839989055198789632,,0,0,,,,https://twitter.com/rudyreer02_/status/839989055198789632
2017-03-09 18:59:31,I mean I've interviewed when I had jobs before but I REALLY wanted to get out of them jobs.,839989055131639808,,0,0,,,,https://twitter.com/YourHoodLawyer/status/839989055131639808
2017-03-09 18:59:24,I've been reading article after article about #GETOUT piecing everything together and I'm still mind blown,839989026945921024,,0,1,,#GETOUT,,https://twitter.com/RealDanieB/status/839989026945921024
2017-03-09 18:59:22,"@casmccullough Hope you find the blog "" Get out of your way and believe in yourself ( http:// bluewi.re/1DQpqT6 )"" useful! ^AG",839989017076748288,,0,0,@casmccullough,,,https://twitter.com/Bluewire_Media/status/839989017076748288
2017-03-09 18:59:21,i've been in a funk for 3 days now and i can't seem to get out of it :/,839989013188603904,,0,0,,,,https://twitter.com/cearaadwyer/status/839989013188603904
2017-03-09 18:59:20,Finally gonna watch Get Out !!,839989009589907460,,0,1,,,,https://twitter.com/Primaverakc/status/839989009589907460
2017-03-09 18:59:18,"My cousin was moaning about having to get out of bed and go to the toilet, but I legit thought she was talking in her sleep again",839988998412107777,,0,0,,,,https://twitter.com/arzuisen/status/839988998412107777
2017-03-09 18:59:17,barnes can't get out there and play for them lol,839988996277170177,,0,0,,,,https://twitter.com/UTMotivator/status/839988996277170177
2017-03-09 18:59:12,"I don't even trust white people anymore after watching Get Out , shits crazy...",839988975674646528,,0,1,,,,https://twitter.com/White_Cracker21/status/839988975674646528
2017-03-09 18:59:09,Its gonna be nice to get out of town for the weekend,839988962399678464,,1,1,,,,https://twitter.com/_DesireeB_/status/839988962399678464
2017-03-09 18:59:08,Finally going to see get out,839988957865750529,,0,0,,,,https://twitter.com/SammySplurge/status/839988957865750529
2017-03-09 18:59:06,Noticed hella more shit after watchin Get Out again,839988949497999362,,0,0,,,,https://twitter.com/ShooterJones_/status/839988949497999362
2017-03-09 18:59:06,"Get Out , got me like ..... WTF!!!",839988948864765954,,0,0,,,,https://twitter.com/tljohnson26/status/839988948864765954
2017-03-09 18:59:06,OMG OMG OMG Get Out is just to much!!! Lord have mercy,839988948176912384,,0,0,,,,https://twitter.com/ChakaCUNN17/status/839988948176912384
