index,text,id,username,retweets,favorites,mentions,hashtags,geo,permalink
2017-08-02 11:48:31,Every time I see this imma think of Girls Trip https:// twitter.com/siatafakup/sta tus/892508199428935680 …,892774119263133696,,18653,24560,,,,https://twitter.com/OH_LAWWD/status/892774119263133696
2017-08-03 19:59:49,"Photos & Video: RHOA Ladies Travel to California for Annual Girls’ Trip , Confirmation of… https:// goo.gl/fb/uURXRN",893260145362321412,,0,0,,,,https://twitter.com/starnewsn1/status/893260145362321412
2017-08-03 19:59:26,#GirlsTrip was so good!!!! I'd literally watch it over and over again! Laughed from the beginning till the end.,893260048599846912,,0,0,,#GirlsTrip,,https://twitter.com/AmranMarianna/status/893260048599846912
2017-08-03 19:58:54,Awwwww I miss this!! My 24th bday girls trip . I fucking love you guys https:// twitter.com/thejoegallery/ status/893248132653469698 …,893259916345053184,,1,0,,,,https://twitter.com/Lexnosex_/status/893259916345053184
2017-08-03 19:58:51,After seeing #GirlsTrip I want to visit NOLA so baaaad!,893259903262797826,,0,0,,#GirlsTrip,,https://twitter.com/QNefertyty/status/893259903262797826
2017-08-03 19:58:06,Still haven't seen girls trip,893259713940406272,,0,0,,,,https://twitter.com/infiniteShav/status/893259713940406272
2017-08-03 19:57:59,Is girls trip on fire stick yet lmao,893259685851168768,,0,0,,,,https://twitter.com/_lovelainee/status/893259685851168768
2017-08-03 19:57:54,I get distracted so easily I'm suppose to finish looking up different hotels for this girls trip,893259663302590466,,0,0,,,,https://twitter.com/_OriginalBreaa/status/893259663302590466
2017-08-03 19:57:45,#Girlstrip was funny asf.! Loved it!,893259625952407553,,0,0,,#Girlstrip,,https://twitter.com/Aa_LuXurieeee/status/893259625952407553
2017-08-03 19:57:41,"Don't quite understand why "" girls trip "" had a private screening yesterday in lagos, y'all doing the most",893259611016441856,,0,0,,,,https://twitter.com/theurbanegirl/status/893259611016441856
2017-08-03 19:57:27,gonna see girls trip with my bff cant waaaaaitttttt,893259551683858433,,0,1,,,,https://twitter.com/Melissallanesss/status/893259551683858433
2017-08-03 19:57:23,After girls trip ion know bout this https:// twitter.com/siatafakup/sta tus/892508199428935680 …,893259533266583552,,0,0,,,,https://twitter.com/Playboikey_/status/893259533266583552
2017-08-03 19:57:13,someone go watch girls trip with me at the grove lol,893259493361963008,,0,0,,,,https://twitter.com/ashiknees/status/893259493361963008
2017-08-03 19:56:46,i wanna go see girls trip but what guy is gonna sit through dat movie,893259378714791937,,0,0,,,,https://twitter.com/Yaeomi/status/893259378714791937
2017-08-03 19:56:43,"Listen, #GirlsTrip is amazingggggg",893259365834256384,,0,1,,#GirlsTrip,,https://twitter.com/chevixter/status/893259365834256384
2017-08-03 19:56:29,#GirlsTrip and it's only intermission pic.twitter.com/Bn3RHTVW8r,893259309294944256,,0,0,,#GirlsTrip,,https://twitter.com/Xp3ctoPatronum/status/893259309294944256
2017-08-03 19:56:29,"Photos & Video: RHOA Ladies Travel to California for Annual Girls’ Trip , Confirmation of Season 10 Housewives pic.twitter.com/ps7xabz0mx",893259308980359168,,0,0,,,,https://twitter.com/dumonttelev/status/893259308980359168
2017-08-03 19:56:20,Lmaoo watch girls trip @_dd1ana,893259267658141696,,0,0,@_dd1ana,,,https://twitter.com/kCastro452673/status/893259267658141696
2017-08-03 19:56:11,OMG #girlstrip you had me like pic.twitter.com/4elV5pkryj,893259231490699264,,0,0,,#girlstrip,,https://twitter.com/MsRita73/status/893259231490699264
2017-08-03 19:55:31,Tonight Kidnap. Friday Dark Tower. Saturday Detroit. Sunday matinee... #GirlsTrip . My weekend!,893259063257116672,,199,1485,,#GirlsTrip,,https://twitter.com/jadapsmith/status/893259063257116672
2017-08-03 19:55:25,Girls trip is a sickkkkk film !!!,893259039005474816,,1,3,,,,https://twitter.com/ZoeLDN/status/893259039005474816
2017-08-03 19:55:20,My granny and auntie going to watch girls trip tomorrow I can only imagine how that's going to go,893259016754823168,,0,0,,,,https://twitter.com/leci27/status/893259016754823168
2017-08-03 19:55:07,GIRLS TRIP was literally everything,893258963931869184,,0,2,,,,https://twitter.com/AlexZone/status/893258963931869184
2017-08-03 19:54:44,"With the crew !! Dinner and a movie #girlstrip !! With Greg Renfrow,Sandy Moore, Carmen Prince ,Cassandra Bell... http:// fb.me/92IcCiSyn",893258865315389440,,0,0,,#girlstrip,,https://twitter.com/francesa1/status/893258865315389440
2017-08-03 19:54:05,watching girls trip made me want to go back to new orleans even more,893258702156951552,,0,0,,,,https://twitter.com/megannicoleee_/status/893258702156951552
2017-08-03 19:53:41,Let's go see girls trip Saturday,893258603716653056,,0,0,,,,https://twitter.com/Foreverrdaisha/status/893258603716653056
2017-08-03 19:53:20,I wish I could see girls trip online,893258516202491904,,3,10,,,,https://twitter.com/paulinosabs/status/893258516202491904
2017-08-03 19:53:12,"I want to see that too, did you see girls trip",893258479229698048,,0,0,,,,https://twitter.com/BeyonceNicki12/status/893258479229698048
2017-08-03 19:53:00,Girls trip was soo good,893258429573234688,,1,1,,,,https://twitter.com/maryore_/status/893258429573234688
2017-08-03 19:52:56,"Get out, girls trip , moon light, Atlanta and Blackish have been smashes. Black people applyin pressure in the entertainment industry!",893258413278408705,,0,0,,,,https://twitter.com/_Based_Religion/status/893258413278408705
2017-08-03 19:52:49,Finally about to see Girls Trip,893258386342645760,,0,1,,,,https://twitter.com/_aliyahn_/status/893258386342645760
2017-08-03 19:52:35,Girls trip again,893258324665356288,,0,0,,,,https://twitter.com/Luv2Lani/status/893258324665356288
2017-08-03 19:52:32,They got me crying in this movies seeing girls trip,893258313969922049,,0,0,,,,https://twitter.com/KaiyaForever/status/893258313969922049
2017-08-03 19:52:24,"I'm half drunk to see #girlstrip , mom didn't notice",893258280906215424,,0,0,,#girlstrip,,https://twitter.com/AMudblood/status/893258280906215424
2017-08-03 19:52:24,i honestly can't believe the number of women who didn't know about grapefruiting before girls trip like wow.,893258280834920448,,2,2,,,,https://twitter.com/i_speak_/status/893258280834920448
2017-08-03 19:51:49,Girls trip was real live funny as fuck best movie I seen in a while,893258133942018048,,0,0,,,,https://twitter.com/Brianamonaee/status/893258133942018048
2017-08-03 19:51:36,hopefully we do a Girls Trip every year,893258080108064768,,0,0,,,,https://twitter.com/JayAshlyn/status/893258080108064768
2017-08-03 19:51:04,So who gonna go see girls trip with me,893257944669847552,,0,1,,,,https://twitter.com/iambritnyb/status/893257944669847552
2017-08-03 19:51:01,Girls trip is honestly amazing man .,893257933626200064,,0,0,,,,https://twitter.com/_thelmaaaa/status/893257933626200064
2017-08-03 19:51:01,gather up 3+ of your friends and go watch girls trip man,893257930610360320,,3,10,,,,https://twitter.com/yoceIyn/status/893257930610360320
2017-08-03 19:50:32,Girls trip,893257809537662978,,0,1,,,,https://twitter.com/TheSumyia_M/status/893257809537662978
2017-08-03 19:50:26,Girls trip was amazing!,893257782861975552,,0,0,,,,https://twitter.com/nicoleloca_/status/893257782861975552
2017-08-03 19:49:52,If U Can't Beat A Bih Like Queen Latifah On Girls Trip ... Ion Wanntcha!!!!,893257643632013312,,0,0,,,,https://twitter.com/Ez_Montie24/status/893257643632013312
2017-08-03 19:49:51,going to see Girls Trip tonight!!,893257639349583873,,0,1,,,,https://twitter.com/angelmendezzz/status/893257639349583873
2017-08-03 19:48:53,"Erica Campbell (Mary Mary) Exclusive: Girls Trip Movie, Staying Married, And More [Video] http:// bit.ly/2v1HDS2",893257393311756289,,0,0,,,,https://twitter.com/drocktrot/status/893257393311756289
2017-08-03 19:48:16,"since Girls Trip isn't online, ima see if a crackhead got it on bootleg lol",893257238550368256,,0,1,,,,https://twitter.com/YonnasDollHouse/status/893257238550368256
2017-08-03 19:48:05,GIRLS TRIP TAUGHT ME https:// twitter.com/siatafakup/sta tus/892508199428935680 …,893257195122556928,,0,0,,,,https://twitter.com/nolimitkylah/status/893257195122556928
2017-08-03 19:47:25,Still need to go see Girls Trip,893257024737247232,,0,1,,,,https://twitter.com/Weedaaaaaa/status/893257024737247232
2017-08-03 19:47:13,I'm Dina from Girls Trip,893256973763969025,,0,0,,,,https://twitter.com/Margaret__ox/status/893256973763969025
2017-08-03 19:46:55,girls trip this weekend,893256898832723969,,0,0,,,,https://twitter.com/prettyassshae__/status/893256898832723969
2017-08-03 19:46:30,i want to go see Girls Trip,893256795329843200,,0,0,,,,https://twitter.com/eleesalw/status/893256795329843200
2017-08-03 19:45:20,Girls Trip was great..,893256502529609728,,0,1,,,,https://twitter.com/KingSerj_/status/893256502529609728
2017-08-03 19:45:08,I definitely recommend everyone to go see #girlstrip,893256450906226688,,0,0,,#girlstrip,,https://twitter.com/tolly_tex/status/893256450906226688
