index,text,id,username,retweets,favorites,mentions,hashtags,geo,permalink
2017-09-07 19:59:57,"Day 6, Canon Leap challenge, find A prop #canon #leap #leapchallenge #canonaustralia … https://www. instagram.com/p/BYwlYU9g5Ne/",905943755018076160,,0,0,,#canon #leap #leapchallenge #canonaustralia,,https://twitter.com/davidpetranker/status/905943755018076160
2017-09-07 19:59:51,pic.twitter.com/FtNPWPj9Hd,905943728170434562,,1,13,,,,https://twitter.com/Mill_Leap/status/905943728170434562
2017-09-07 19:59:37,Letter from the Editor: One Giant Leap for Womankind - TIME https:// apple.news/A8I5yzI3yStqjH 1PaTAxGSg …,905943669957648384,,0,0,,,,https://twitter.com/nohumanillegal/status/905943669957648384
2017-09-07 19:58:55,Seahawks_Newz. Seahawks' Eddie Lacy contemplating doing 'Lambeau Leap - Yardbarker http:// aggbot.com/Seattle-Seahaw ks-News/article/30887412 …,905943496426651648,,0,1,,,,https://twitter.com/Seahawks_Newz/status/905943496426651648
2017-09-07 19:58:34,Packers_Newz. Seahawks' Eddie Lacy contemplating doing 'Lambeau Leap - Yardbarker http:// aggbot.com/Green-Bay-Pack ers-News/article/30887407 …,905943406144364544,,0,0,,,,https://twitter.com/Packers_Newz/status/905943406144364544
2017-09-07 19:58:31,So you think ignorance due to being a young Berner immediately makes me a misogynist? that's quite a deductive leap .,905943393301397504,,0,0,,,,https://twitter.com/Seb_os442/status/905943393301397504
2017-09-07 19:58:30,Take the leap ! #PBL #deeperlearning #activelearning #studentcentered #teachinghowkidslearn https://www. hewlett.org/teachers-deepe r-learning-letting-go/?platform=hootsuite …,905943389320994818,,0,2,,#PBL #deeperlearning #activelearning #studentcentered #teachinghowkidslearn,,https://twitter.com/Ctina_Chapa/status/905943389320994818
2017-09-07 19:58:24,"seahawksbuzztap: sportingnews​.com >> Eddie Lacy unsure of Lambeau Leap , doesn't want to get pushed back down http:// buzztap.com/-M32o8q #GoH …",905943365144993792,,0,0,,#GoH,,https://twitter.com/hawks_fanguy/status/905943365144993792
2017-09-07 19:58:22,I liked a @YouTube video http:// youtu.be/67mNGDzbBwQ?a Unboxing of the Leap Motion + setup,905943358400495617,,0,0,@YouTube,,,https://twitter.com/DankPie/status/905943358400495617
2017-09-07 19:57:15,"rcooley123: In 'Huge Leap Forward,' Illinois Becomes 10th State With Automatic Voter Registration - https:// goo.gl/V5y6gn",905943075742240768,,0,0,,,,https://twitter.com/02Cents0/status/905943075742240768
2017-09-07 19:57:09,AVID Parent Night at LMS. Leopards Believe. Leopards Achieve. @LongleafMiddle @leap _principal pic.twitter.com/JV51dtM4eO,905943048789614593,,5,11,@LongleafMiddle @leap,,,https://twitter.com/Boyd2017T/status/905943048789614593
2017-09-07 19:55:30,From @BradyHenderson : Will he Leap ? Eddie Lacy ponders Lambeau return http://www. espn.com/nfl/story/_/id /20623463 …,905942633306050561,,3,6,@BradyHenderson,,,https://twitter.com/RobDemovsky/status/905942633306050561
