index,text,id,username,retweets,favorites,mentions,hashtags,geo,permalink
2017-01-07 18:53:14,"FOUR! Yes, 4 movies I need to see this weekend- @livebynight , @patriotsdayfilm , @TheByeByeMan , & @SleeplessMovie ! How will I prevail?",817881814475931648,,0,0,@livebynight @patriotsdayfilm @TheByeByeMan @SleeplessMovie,,,https://twitter.com/FastFuriousTrav/status/817881814475931648
2017-01-07 18:52:53,"mate films class, can't wait for live by night now",817881725942591492,,0,0,,,,https://twitter.com/_McDylan/status/817881725942591492
2017-01-07 18:44:18,Click to #win tickets to the Live By Night premiere with @HeyUGuys http://www. heyuguys.com/win-tickets-li ve-night-premiere/ …,817879565292998656,,11,0,@HeyUGuys,#win,,https://twitter.com/HelenaEvans7/status/817879565292998656
2017-01-07 18:43:41,LIVE BY NIGHT takes incoherence to another level. There had to be some payback for all these good Oscar movies: http://www. humblecookie.org/2017/01/07/liv e-night-ramshackle-gangster-mess-review/ … pic.twitter.com/tomd660pZy,817879408279191553,,0,0,,,,https://twitter.com/orlamango/status/817879408279191553
2017-01-07 18:41:41,"I wanna see ""Fist Fight"" but "" Live by Night "" comes out first",817878907793838080,,0,0,,,,https://twitter.com/Sensei_Kane_/status/817878907793838080
2017-01-07 18:38:24,Click to #win #LiveByNight Official Merchandise with @BlazingMinds http:// bit.ly/2iEZsyC,817878081121570816,,0,0,@BlazingMinds,#win #LiveByNight,,https://twitter.com/dorsetsgem/status/817878081121570816
2017-01-07 18:35:55,‘ Live By Night ’ is a Ramshackle Gangster Mess: Review http://www. humblecookie.org/2017/01/07/liv e-night-ramshackle-gangster-mess-review/ … pic.twitter.com/D3AbuVJBmB,817877455939784704,,0,0,,,,https://twitter.com/ToWatchToLive/status/817877455939784704
2017-01-07 18:31:39,Finished reading #LiveByNight - ready for the movie now!,817876379844964352,,0,0,,#LiveByNight,,https://twitter.com/KaityChaps/status/817876379844964352
2017-01-07 18:11:19,I've entered a giveaway to win tickets to the London premiere of Ben Affleck's Live By Night . Enter here https:// goo.gl/vW46K,817871266455687168,,0,0,,,,https://twitter.com/ImTheSugar/status/817871266455687168
2017-01-07 18:05:16,@StephenKing Did you see the new ben affleck movie? Live by night looks really good. PS BIG BIG FAN HAVE ALL YOUR BOOKS!,817869742665039872,,0,0,@StephenKing,,,https://twitter.com/DG_888/status/817869742665039872
2017-01-07 18:05:00,Click to #win tickets to the Live By Night premiere with @HeyUGuys http://www. heyuguys.com/win-tickets-li ve-night-premiere/ …,817869674876637184,,0,0,@HeyUGuys,#win,,https://twitter.com/xoseal/status/817869674876637184
2017-01-07 18:02:40,"Life Pro Tip: If a big budget action movie has a January release date, you can be sure it's weak. @livebynight @xxxMovie @SleeplessMovie",817869088072437760,,1,1,@livebynight @xxxMovie @SleeplessMovie,,,https://twitter.com/jesseisgolfing/status/817869088072437760
2017-01-07 18:00:46,"Avant sa venue pour #LiveByNight le 16 à Paris, Ben Affleck était passé pour #Argo : photos @warnerbrosfr http://www. zickma.fr/argo-avant-pre miere … pic.twitter.com/d3dv56jH8A",817868610584670208,,0,2,@warnerbrosfr,#LiveByNight #Argo,,https://twitter.com/Zickmafr/status/817868610584670208
2017-01-07 18:00:06,"If you’re gonna take charge, bring the noise. #LiveByNight in theaters everywhere January 13. pic.twitter.com/zqHuS63f7z",817868443961561088,,121,293,,#LiveByNight,,https://twitter.com/livebynight/status/817868443961561088
2017-01-07 18:00:03,Phoenix: Win Passes To An Advance Screening Of ‘ Live By Night ’ http:// redcarpetcrash.com/phoenix-win-pa sses-advance-screening-live-night/ …,817868427851276289,,0,0,,,,https://twitter.com/redcarpetcrash/status/817868427851276289
2017-01-07 18:00:01,Phoenix: Win Passes To An Advance Screening Of ‘ Live By Night ’ http:// redcarpetcrash.com/phoenix-win-pa sses-advance-screening-live-night/ …,817868419529867267,,0,0,,,,https://twitter.com/SamTheMailman/status/817868419529867267
2017-01-07 17:55:25,I've entered a giveaway to win tickets to the London premiere of Ben Affleck's Live By Night . Enter here https:// goo.gl/vW461K,817867264636702720,,0,0,,,,https://twitter.com/emma202020/status/817867264636702720
2017-01-07 17:44:17,"RT to win a #LiveByNight prize pack - w/ Live By Night novel written by Dennis Lehane, 2 tix to movie, t-shirt, tote and more! @livebynight .",817864459628716032,,9,4,@livebynight,#LiveByNight,,https://twitter.com/maureencaught/status/817864459628716032
2017-01-07 17:41:18,"Need an @EB9 early review of this new Affleck flick Live By Night , 1-10 bags of popcorn",817863709141807106,,0,0,@EB9,,,https://twitter.com/drsauce47/status/817863709141807106
2017-01-07 17:40:51,"Du coup jvais sûrement aller voir Live by Night pour mon anniversaire, il sort la veille.",817863597393068032,,0,0,,,,https://twitter.com/ElonoreMcGarden/status/817863597393068032
2017-01-07 17:36:38,live by night ?,817862535672197120,,0,0,,,,https://twitter.com/PayyMeInGold_/status/817862535672197120
2017-01-07 17:33:39,FoF to Host #Dallas #Austin #Houston #OKC #OklahomaCity Premiere of @livebynight head to FoF website to get your FREE passes #livebynight,817861785340542977,,0,0,@livebynight,#Dallas #Austin #Houston #OKC #OklahomaCity #livebynight,,https://twitter.com/fofnation/status/817861785340542977
2017-01-07 17:26:43,Date night with Mrs. P. on a snowy night. @livebynight @AMCTheatres followed by a late dinner @JoanneTrattoria,817860039461507072,,0,0,@livebynight @AMCTheatres @JoanneTrattoria,,,https://twitter.com/impopsy/status/817860039461507072
2017-01-07 17:25:48,"What movies are you looking forward to seeing? One of mine is "" Live by Night .""",817859810997784577,,0,0,,,,https://twitter.com/isaacsonbooks/status/817859810997784577
2017-01-07 17:24:55,#LiveByNight https://www. youtube.com/watch?v=CtFZcA uH-qI …,817859589035229186,,0,0,,#LiveByNight,,https://twitter.com/Disney_Girl_/status/817859589035229186
2017-01-07 17:23:08,@BenAffleck @livebynight looks fucking awesome!!!! Can't wait to go see it!,817859138931736577,,0,0,@BenAffleck @livebynight,,,https://twitter.com/awardy191/status/817859138931736577
2017-01-07 17:22:29,"Awesome! #LiveByNight commercials. Cant get enough of Afflecks shitty, fake Boston accent. Not sure how thats even possible, but it is.",817858974041116673,,0,0,,#LiveByNight,,https://twitter.com/Stones6865/status/817858974041116673
2017-01-07 17:21:57,@ThatKevinSmith I would love to hear your thoughts @livebynight on any of your podcasts!,817858840490188800,,0,0,@ThatKevinSmith @livebynight,,,https://twitter.com/awardy191/status/817858840490188800
2017-01-07 17:21:38,#LiveByNight could be a great movie ... but for #youknowwho,817858762564374530,,0,0,,#LiveByNight #youknowwho,,https://twitter.com/oregonlt3/status/817858762564374530
2017-01-07 17:21:17,I love him. He's an all American lead actor. Reminds me of the old days. Lol. I wanna see #LiveByNight . https:// twitter.com/ncsujen/status /817858330618200064 …,817858671774498819,,0,0,,#LiveByNight,,https://twitter.com/KimKSidePiece/status/817858671774498819
2017-01-07 17:21:13,#LiveByNight looks like a compilation of a lot of other movies nobody wanted to see all put together. Pass.,817858656263925760,,0,0,,#LiveByNight,,https://twitter.com/5GearsInReverse/status/817858656263925760
2017-01-07 17:21:03,Live by night is a go,817858615398825984,,1,0,,,,https://twitter.com/Dan_Glorious/status/817858615398825984
2017-01-07 17:20:54,Live By Night looks like the best movie in the walmart summer clearance bin.,817858577272623105,,0,2,,,,https://twitter.com/rights_of_bill/status/817858577272623105
2017-01-07 17:20:48,Live by night looks awesome! Must watch,817858549933973504,,0,0,,,,https://twitter.com/JesusMad10/status/817858549933973504
2017-01-07 17:20:42,I wanna see Live By Night,817858526718685186,,0,0,,,,https://twitter.com/SenseiOcho/status/817858526718685186
