index,text,id,username,retweets,favorites,mentions,hashtags,geo,permalink
2017-03-16 19:59:59,No me he visto Logan,842525885521715200,,0,3,,,,https://twitter.com/_Lunareja_/status/842525885521715200
2017-03-07 11:06:21,Логан / Logan (2017) #Фантастика / #Боевик #фильмы #бесплатно #кино #новости #фильмы2017 #супер #лучшийфильм >>> http:// bestnavi.ru/2017/751-logan -logan-2017-fantastika-boevik.html … pic.twitter.com/UnlHIrg9QC,839145200727568385,,899,244,,#Фантастика #Боевик #фильмы #бесплатно #кино #новости #фильмы2017 #супер #лучшийфильм,,https://twitter.com/Anastasiya_svit/status/839145200727568385
2017-03-16 14:09:03,일본에서 LOGAN 가 볼 수있는 것은 6 월입니다……,842437573469331457,,129,14,,,,https://twitter.com/waka_tyakku/status/842437573469331457
2017-03-16 19:59:56,Logan,842525876315181058,,0,0,,,,https://twitter.com/LoganLins/status/842525876315181058
2017-03-16 19:59:54,Logan is definitely worth it,842525867289075713,,0,1,,,,https://twitter.com/Kyrie9908/status/842525867289075713
2017-03-16 19:59:52,"and to have rogue involved, it would've gave X-23 a female figure to bond w/ and to see where her and logan 's relationship ended.",842525859764428800,,0,0,,,,https://twitter.com/Blvck_Picvsso/status/842525859764428800
2017-03-16 19:57:35,"Just seen the movie "" Logan "" - it was good asmf",842525284926656514,,37,241,,,,https://twitter.com/jalenramsey/status/842525284926656514
2017-03-16 19:58:39,Good morning tweethearts! Live na live tayo with Bernadette Sembrano & Marc Logan ! Saya nito!!!! #MBTVP30 ツ,842525550002368515,,61,262,,#MBTVP30,,https://twitter.com/darLasauLer/status/842525550002368515
2017-03-16 19:59:42,Still wanna see Logan :(,842525814281396224,,1,0,,,,https://twitter.com/enerharas/status/842525814281396224
2017-03-16 19:59:41,logan nao me ama,842525812620431360,,0,0,,,,https://twitter.com/hmluazinha/status/842525812620431360
2017-03-16 19:59:40,i just look a snap of me in that new little cheetah filter without makeup and i looked just like logan . oh my gosh,842525806916259840,,0,4,,,,https://twitter.com/bayvincent_/status/842525806916259840
2017-03-16 19:59:39,Pra q deixar pra amanhã.... .... #cinema #move #logan #filhos #semprejuntos #tmj … https://www. instagram.com/p/BRt-PM1htI6/,842525802994450432,,0,0,,#cinema #move #logan #filhos #semprejuntos #tmj,,https://twitter.com/aleccoelho/status/842525802994450432
2017-03-16 19:59:34,Who tryna see Logan ?,842525782450847744,,0,0,,,,https://twitter.com/kingjdoss_/status/842525782450847744
2017-03-16 19:59:31,that's where you're wrong. Been following her since wizards of waverly place,842525767565217792,,0,1,,,,https://twitter.com/wysong_tyler/status/842525767565217792
2017-03-16 19:59:22,I'm tryna watch Logan and Kong this weekend,842525731850670080,,0,3,,,,https://twitter.com/FxckManny/status/842525731850670080
2017-03-16 19:59:21,SO PRETTY,842525727836655617,,0,1,,,,https://twitter.com/adrienne_dunn/status/842525727836655617
2017-03-16 19:59:20,Thank you! I'm glad someone else finally has the balls to say #Logan sucked https:// twitter.com/Sorrowfulsavio r/status/842458904063815680 …,842525723327954945,,0,0,,#Logan,,https://twitter.com/blackestnighte/status/842525723327954945
2017-03-16 19:59:16,Logan Howlett aka Wolverine https:// twitter.com/glennforhands/ status/842520490447056896 …,842525706248765440,,0,1,,,,https://twitter.com/hughswolverine/status/842525706248765440
2017-03-16 19:59:11,Vou ir no cinema com o @O_Pirraleo olhar Logan que eu ganho mais né,842525686350929920,,0,1,@O_Pirraleo,,,https://twitter.com/_jessflores/status/842525686350929920
2017-03-16 19:59:08,@jeff_lurie Jalen Mills has promise and the d line is great better without Logan honestly slowed us down but line backer and corner,842525674019717120,,0,0,@jeff_lurie,,,https://twitter.com/Brianhilton18/status/842525674019717120
2017-03-16 19:59:06,"Interview with Logan ’s Cinematographer John Mathieson, BSC. #Logan #JohnMathieson @mang0ld @AmericanCine : http://www. theasc.com/site/blog/web- exclusives/logan-last-action-hero/ … pic.twitter.com/f5IlJr7ENC",842525664305709057,,4,12,@mang0ld @AmericanCine,#Logan #JohnMathieson,,https://twitter.com/JohnSant87/status/842525664305709057
2017-03-16 19:59:03,ta eu ja deixei de ver logan 50 shades BELA E A FERA EU TENHO QUE IR,842525653677359104,,0,0,,,,https://twitter.com/anasellenrod/status/842525653677359104
