index,text,id,username,retweets,favorites,mentions,hashtags,geo,permalink
2016-12-06 18:59:55,[Serious] What did you guys think of Moana ? http:// ift.tt/2hf4Ru4,806287082314461184,,0,0,,,,https://twitter.com/pest_vamonos/status/806287082314461184
2016-12-06 18:59:38,is moana really that good,806287010700795904,,0,1,,,,https://twitter.com/theminayeon/status/806287010700795904
2016-12-06 18:59:33,"Man, Moana was incredible and I love my beautiful daughter!!!! Go see Moana !!!!!",806286991637835776,,0,3,,,,https://twitter.com/sixthbennettsis/status/806286991637835776
2016-12-06 18:59:23,moana was really good but I can't stop saying 'you're welcome' in that stupid voice,806286947710889988,,0,1,,,,https://twitter.com/velvet_raiin/status/806286947710889988
2016-12-06 18:59:17,soooo cute I wanted Lilo and Disney Moana,806286925745164288,,0,0,,,,https://twitter.com/YajairaFusion/status/806286925745164288
2016-12-06 18:59:15,"ok so @auliicravalho was like 14 when she did moana ,,her voice is literally amazing & when she gets older its probabaly only gna get better",806286917180354560,,0,0,@auliicravalho,,,https://twitter.com/foreverteal/status/806286917180354560
2016-12-06 18:59:02,"MOANA IS NOW OFFICIALLY MY NEW FAVORITE DISNEY ANIMATION MOVIE NEXT TO MONSTERS, INC",806286861832372224,,0,1,,,,https://twitter.com/diannebinsol/status/806286861832372224
2016-12-06 18:59:02,Vaiana pensé que era Moana,806286861702467584,,0,0,,,,https://twitter.com/GelixGelixiano/status/806286861702467584
2016-12-06 18:58:55,"I'm at @Cinemex for Moana in Disney Digital 3D in Tultitlán, Estado de México https://www. swarmapp.com/c/kmArm7mBxt7",806286833676124160,,0,0,@Cinemex,,,https://twitter.com/Kerikerito/status/806286833676124160
2016-12-06 18:58:37,Want to know how to improve your house? Get a big ass cardboard cutout of Maui @TheRock @DisneyMoana #Moana pic.twitter.com/ayqeCFAqcw,806286757822087168,,0,4,@TheRock @DisneyMoana,#Moana,,https://twitter.com/CJon3s/status/806286757822087168
2016-12-06 18:58:33,"hahaha bintang apo eh cito camtu. Baik tengok Moana ke apa lagi bagus, dengar suara The Rock lagi sedap haha",806286741174788096,,0,0,,,,https://twitter.com/faizalghafur95/status/806286741174788096
2016-12-06 18:58:30,Moana soundtrack on repeat? I think yes! @jefficav,806286727337820160,,1,2,@jefficav,,,https://twitter.com/Shantel_0921/status/806286727337820160
2016-12-06 18:58:25,Listening to the Moana soundtrack all day made me have a crush on @Lin_Manuel,806286704311029760,,0,0,@Lin_Manuel,,,https://twitter.com/rolliepops/status/806286704311029760
2016-12-06 18:58:24,oml i really want to watch moana :--((,806286701320511488,,0,0,,,,https://twitter.com/lionelldeguzman/status/806286701320511488
2016-12-06 18:58:16,Joder real que quiero ver Moana en vose quiero ver las canciones de lin,806286666403024896,,0,0,,,,https://twitter.com/courfthecat/status/806286666403024896
2016-12-06 18:58:15,yessss I've had it in my head since last Friday!,806286662900838400,,0,1,,,,https://twitter.com/StephRosPhoto/status/806286662900838400
2016-12-06 18:58:13,I went to see Moana today and it was a wonderful wonderful thing please go see it at your earliest convenience.,806286657431470082,,0,3,,,,https://twitter.com/JamesEdwinMusic/status/806286657431470082
2016-12-06 18:58:11,So is #MOANA based on @TheRock 's tattoo's or what? I'm asking for a friend...,806286646303805440,,0,0,@TheRock,#MOANA,,https://twitter.com/JoeLewisQuinn/status/806286646303805440
2016-12-06 18:57:50,"Lyrics: ""How Far I'll Go"" (Alessia Cara version) from Disney's Moana http:// fb.me/1yr8EivQx",806286559758708736,,0,0,,,,https://twitter.com/algrimes75/status/806286559758708736
2016-12-06 18:57:48,"me: *eyes water a little watching moana in the theatre* me, listening to the soundtrack on youtube: *grossly sobs*",806286550636122112,,0,1,,,,https://twitter.com/ilasja/status/806286550636122112
