index,text,id,username,retweets,favorites,mentions,hashtags,geo,permalink
2017-03-09 18:48:43,Ready for a great new movie? Check out #rockdog and win a $25 Visa Card to see the film! #giveaway @tfasm http:// deliciouslysavvy.com/25-visa-card-r ock-dog-movie-prize-pack-giveaway-ends-309/ …,839986336195059712,,1,0,@tfasm,#rockdog #giveaway,,https://twitter.com/hicksfan7/status/839986336195059712
2017-03-09 18:41:30,"#Win a #RockDog prize package, including a $50 Visa gift card to see the movie! #Giveaway #Sweeps http:// bit.ly/2lJUcgt",839984522158579712,,0,0,,#Win #RockDog #Giveaway #Sweeps,,https://twitter.com/teresaorgan/status/839984522158579712
2017-03-09 18:28:36,""" Rock Dog "" في دور العرض المصرية http:// dlvr.it/Nb25k8 #صحافة_دوت_نت pic.twitter.com/njvbzw5fro",839981272336289792,,0,0,,#صحافة_دوت_نت,,https://twitter.com/Sa7afaDotNet/status/839981272336289792
2017-03-09 18:09:40,"#MOVIE #REVIEW : #RockDog is mediocre at best, but still isn't bad enough that we hate ourselves for seeing it. http:// bit.ly/LoloRKDG pic.twitter.com/nslceHwhSl",839976508982673408,,0,2,,#MOVIE #REVIEW #RockDog,,https://twitter.com/lololovesfilms/status/839976508982673408
2017-03-09 17:54:06,"#Win a #RockDog prize package, including a $50 Visa gift card to see the movie! #Giveaway #Sweeps http:// bit.ly/2lJUcgt",839972591003729920,,0,0,,#Win #RockDog #Giveaway #Sweeps,,https://twitter.com/HollyThomas61/status/839972591003729920
2017-03-09 17:48:06,Así termina la SEM en Col. 1) #Logan 2) #LaGranMuralla 3) #Fragmentado 4) #RockDog 5) #LEGOBatmanMovie,839971081796661248,,0,0,,#Logan #LaGranMuralla #Fragmentado #RockDog #LEGOBatmanMovie,,https://twitter.com/cSMoviesCol/status/839971081796661248
2017-03-09 17:35:12,was rock dog one of them?,839967834910457859,,0,1,,,,https://twitter.com/PyroHusky/status/839967834910457859
2017-03-09 17:27:39,I’m hoping to win the #RockDog prize & $50 Visa Gift card #giveaway from @ClassyMommy,839965933619843077,,0,0,@ClassyMommy,#RockDog #giveaway,,https://twitter.com/susitravl/status/839965933619843077
2017-03-09 17:19:58,Enter to win the #ROCKDOG Prize Pack Giveaway via @themommyfiles @rockdogmovie ! Will you enter? #giveaway #win,839964001933070336,,0,0,@themommyfiles @rockdogmovie,#ROCKDOG #giveaway #win,,https://twitter.com/karenb834/status/839964001933070336
2017-03-09 17:15:01,Déjate llevar por la música. #RockDog continúa en cartelera. pic.twitter.com/BafD8myj5b,839962756254224385,,0,5,,#RockDog,,https://twitter.com/CinepolisDist/status/839962756254224385
2017-03-09 17:06:08,"#Win a @RockDogMovie prize pack, including a $25 Visa g/c @Mdub70deuce (US) ends 3/12 #RockDog #giveaway http://www. obviously-marvelous.com/2017/02/21/roc k-dog-printable-activities-giveaway-rockdog-312/ …",839960522254659584,,0,0,@RockDogMovie @Mdub70deuce,#Win #RockDog #giveaway,,https://twitter.com/AFTolar/status/839960522254659584
2017-03-09 17:00:07,"Rock Dog | 92 min | JK Simmons, Luke Wilson | http:// sg-movies.com/movies/10463 pic.twitter.com/Kr29L1aR91",839959005791309824,,0,0,,,,https://twitter.com/sg_movies/status/839959005791309824
2017-03-09 16:49:27,"Bodi may turn up the volume in #RockDog , but we won't in our #AMCSensoryFriendly showing this Saturday! Get tix: http:// bit.ly/297PMq9 pic.twitter.com/Dv3rkD3Q0a",839956322065903616,,0,2,,#RockDog #AMCSensoryFriendly,,https://twitter.com/AMCindependent/status/839956322065903616
2017-03-09 16:49:25,"#Win a #RockDog prize package, including a $50 Visa gift card to see the movie! #Giveaway #Sweeps http:// bit.ly/2lJUcgt",839956314713427968,,0,0,,#Win #RockDog #Giveaway #Sweeps,,https://twitter.com/NYCJesi/status/839956314713427968
