index,text,id,username,retweets,favorites,mentions,hashtags,geo,permalink
2017-11-02 19:10:08,Win a Prize Pack from the Movie Same Kind of Different as Me ! – 99.9 the Q http://www. wqrc.com/slider/win-a-p rize-pack-from-the-movie-same-kind-of-different-as-me/ … pic.twitter.com/q53DMHRJrM,926224940524765187,,0,0,,,,https://twitter.com/999theQ/status/926224940524765187
2017-11-02 17:30:02,Same Kind of Different as Me - Trailer 2 (2017) http:// kzq.cz/gL7Gh pic.twitter.com/y1qVW3Zk6d,926199749610323969,,0,0,,,,https://twitter.com/ScreenTweet/status/926199749610323969
2017-11-02 14:59:22,“[123Movies!] same kind of different as me F.ull Movie (2017) Online” by @pardeepnanda00 https:// twitter.com/i/moments/9261 61172830633984 …,926161832645029888,,0,0,@pardeepnanda00,,,https://twitter.com/pardeepnanda00/status/926161832645029888
2017-11-02 14:58:18,“[123Movies!] same kind of different as me F.ull Movie (2017) Online” https:// twitter.com/i/moments/9261 61172830633984 …,926161561932128256,,0,0,,,,https://twitter.com/pardeepnanda00/status/926161561932128256
2017-11-02 14:57:58,WATCH HERE >>> http:// 4kstreamvideos.com/movies [123Movies!] same kind of different as me F.ull Movie (2017) Online,926161480789008384,,0,0,,,,https://twitter.com/pardeepnanda00/status/926161480789008384
2017-11-02 13:26:57,I liked a @YouTube video http:// youtu.be/dOKWEDH1nS8?a Djimon Hounsou Talks ' Same Kind of Different As Me ',926138573509791744,,0,1,@YouTube,,,https://twitter.com/SubrinaO/status/926138573509791744
2017-11-02 12:10:08,"Take your family, and go see Same Kind of Different as Me this weekend at your local theater! You will love it! https:// twitter.com/evangelistmatt /status/893576806703484928 …",926119243413884928,,24,66,,,,https://twitter.com/evangelistmatt/status/926119243413884928
2017-11-02 11:52:21,"Experience the beautiful true story of SAME KIND OF DIFFERENT AS ME (PG-13) at 2:10pm, 4:35pm, 7:15pm or 9:40pm. #theFCT . pic.twitter.com/9G3w8AQylo",926114766975918081,,0,1,,#theFCT,,https://twitter.com/FarmingtonCivic/status/926114766975918081
2017-11-02 11:41:03,Same Kind of Different as Me - Pure Flix Trailer https://www. midlandscbd.com/articles/same- kind-of-different-as-me-pure-flix-trailer-5997 … pic.twitter.com/KRD0WYFQhm,926111921790771203,,0,0,,,,https://twitter.com/MidlandsChr/status/926111921790771203
2017-11-02 10:57:01,Check out Same Kind Of Different As Me Promotional Bag NWOT Hallelujah! October 20th Guest http://www. ebay.com/itm/-/14255501 2046?roken=cUgayN&soutkn=NrlSbo … via @eBay,926100842427564033,,0,0,@eBay,,,https://twitter.com/randykoto/status/926100842427564033
2017-11-02 10:49:01,#NowPlaying Promo - Same Kind Of Different As Me on http:// uGospel.com,926098830545825792,,0,0,,#NowPlaying,,https://twitter.com/uGospel/status/926098830545825792
2017-11-02 06:41:15,I just finished day 2 of the @YouVersion Plan Same Kind Of Different As Me . Check it out here: http:// bible.com/r/2IU pic.twitter.com/rh2RdKISl1,926036477976498177,,0,0,@YouVersion,,,https://twitter.com/2hvefaith/status/926036477976498177
2017-11-02 02:20:34,I just finished day 3 of the @YouVersion plan ' Same Kind Of Different As Me '. Check it out … http:// bible.com/r/2IU pic.twitter.com/ho1wL84Pyf,925970873164627968,,0,0,@YouVersion,,,https://twitter.com/tivpine/status/925970873164627968
2017-11-02 01:55:29,"SAME KIND OF DIFFERENT AS ME : Bagger Vance returns, this time to help a couple who are drifting apart get over their white guilt. #movies pic.twitter.com/q38B3VDPUj",925964561533911040,,0,1,,#movies,,https://twitter.com/TheMovieGuys/status/925964561533911040
2017-11-02 00:05:24,"“When you become precious to God, you become important to Satan. “ -Denver Same Kind of Different as Me",925936856390348801,,0,3,,,,https://twitter.com/texasangela88/status/925936856390348801
2017-11-01 23:28:49,Djimon Hounsou Talks ‘ Same Kind of Different As Me ’ http://www. blacktalkradionetwork.com/2017/11/01/dji mon-hounsou-talks-same-kind-of-different-as-me/ …,925927650752786432,,0,1,,,,https://twitter.com/blacktalkradio/status/925927650752786432
2017-11-01 23:03:28,Great must see movie!!! — watching Same Kind of Different as Me at AMC Buckhead Backlot Cinema & Cafe http:// fb.me/1FnDKOdUY,925921273003347968,,0,0,,,,https://twitter.com/jennydp/status/925921273003347968
2017-11-01 20:34:41,A4 personally Same Kind of Different as Me Ron Hall and Denver Moore #wcsmission,925883829813997581,,0,3,,#wcsmission,,https://twitter.com/MichelleRae0703/status/925883829813997581
