index,text,id,username,retweets,favorites,mentions,hashtags,geo,permalink
2017-01-05 18:59:59,Silence ton chocolat aumoins c'est toi qui la demandé,817158734422167553,,0,0,,,,https://twitter.com/WodjiD/status/817158734422167553
2017-01-05 18:59:58,And i still hate silence ...,817158731163045888,,0,0,,,,https://twitter.com/ctnwjy/status/817158731163045888
2017-01-05 18:59:56,@MrFruitYT goodbye roadhog lets have a moment of silence for him pic.twitter.com/Meuchz8X8y,817158723466592257,,1,1,@MrFruitYT,,,https://twitter.com/Abraham72830298/status/817158723466592257
2017-01-05 16:45:12,The Silence of the Lambs (1991) pic.twitter.com/zLHRTOArKF,817124816146853893,,4,14,,,,https://twitter.com/malanaphv/status/817124816146853893
2017-01-05 18:25:16,Yes @UN silence to defend right to self determination causing conflict around the world #FreeNnamdiKanu #Biafra #SetADate4BiafraReferendum https:// twitter.com/HannibalBarca6 5/status/817142326396993536 …,817149999700180992,,287,11,@UN,#FreeNnamdiKanu #Biafra #SetADate4BiafraReferendum,,https://twitter.com/NkirukaNistoran/status/817149999700180992
2017-01-05 18:59:40,if you go out have a moment of silence for me bc I don't finish work until midnight tonight,817158656865095680,,0,0,,,,https://twitter.com/caitlyn_jay/status/817158656865095680
2017-01-05 18:59:38,#NowPlaying on @PressureZone : Stahlnebel & Black Selket - Dead Silence (Feat. Cantalino Youth Choir) #OnAirNow,817158648564744192,,0,0,@PressureZone,#NowPlaying #OnAirNow,,https://twitter.com/PressureZone/status/817158648564744192
2017-01-05 18:59:38,The Sounds Of Silence (Live) by Simon & Garfunkel https:// youtu.be/B9z87viDmOo via @YouTube,817158648191455233,,0,0,@YouTube,,,https://twitter.com/ellyfromearth/status/817158648191455233
2017-01-05 18:59:35,Ma boy really gave a whole tutorial on how to eat ass,817158634463436801,,0,0,,,,https://twitter.com/silence_kd/status/817158634463436801
2017-01-05 18:59:26,"Me compré una esponja de baño y mamá me dice ""la marca es boobs"" *gay silence *",817158599122321409,,0,0,,,,https://twitter.com/tortazul/status/817158599122321409
2017-01-05 18:59:23,Vou colocar Narcissus e Silence pra tocar feat Run away #TeamSuperJunior,817158583355850752,,0,0,,#TeamSuperJunior,,https://twitter.com/suckmeheechul/status/817158583355850752
2017-01-05 18:59:21,"@joebhorton :""Enjoy the Silence "" by Depeche Mode & the line was ""words are very unnecessary/they can only do harm""-change to birds&it works!",817158577534054400,,0,0,@joebhorton,,,https://twitter.com/MlyStClr/status/817158577534054400
2017-01-05 18:59:04,Silence kept her alive. Magic will set her free. Silenced (The Grand Elite Caster Book 1) http:// a.co/izL6fUk https://www. rafflecopter.com/rafl/share-cod e/MGVmY2M5OTJkYjYzNmIwYWYzNmE2MmQ2YzBmYzQ0OjM=/ …,817158506943893504,,0,0,,,,https://twitter.com/Nitacuatepitzi/status/817158506943893504
2017-01-05 18:58:58,J'ai le sang chaud j'oublie souvent que le silence est la meilleure réponse que l'on puisse faire à un sot,817158479005806592,,0,2,,,,https://twitter.com/Emmaprsn/status/817158479005806592
2017-01-05 18:58:57,There are times when silence speaks with the loudest voice and carries the heaviest impact!!,817158477634293760,,0,0,,,,https://twitter.com/unknown45523435/status/817158477634293760
2017-01-05 18:58:31,Silence kept her alive. Magic will set her free. Silenced (The Grand Elite Caster Book 1) http:// a.co/izL6fUk https://www. rafflecopter.com/rafl/share-cod e/MGVmY2M5OTJkYjYzNmIwYWYzNmE2MmQ2YzBmYzQ0OjM=/ …,817158367223357441,,0,0,,,,https://twitter.com/rkathy5/status/817158367223357441
2017-01-05 18:58:21,"-- gaze pierced into Mikuni's, and lunged forward, his fingers wrapping around his throat. An eery silence filled the air, --",817158327255891968,,0,0,,,,https://twitter.com/uninvitedeigth/status/817158327255891968
2017-01-05 18:58:14,Sound of silence,817158297811873798,,0,1,,,,https://twitter.com/AfonsoQ_/status/817158297811873798
2017-01-05 18:58:12,""" Silence is complicity. Speak now or surrender your ground."" - Michelle Malkin",817158287321747456,,0,0,,,,https://twitter.com/buckeyery/status/817158287321747456
2017-01-05 18:58:00,We should not be using people's votes to silence them.,817158237812359168,,0,1,,,,https://twitter.com/MichaelRWear/status/817158237812359168
2017-01-05 18:57:52,"""Foyer"" ( #IsmailBahri , 2016) #Photogramme pic.twitter.com/SpPnXJJZkU",817158201800060932,,0,0,,#IsmailBahri #Photogramme,,https://twitter.com/Silence_Action/status/817158201800060932
2017-01-05 18:57:46,Get the new Ist Ist single Silence - limited edition just 50 copies - just brilliant! @ististmusic https://www. musicglue.com/ististmusic/pr oducts/pre-sale-silence---limited-edition-disc/ … pic.twitter.com/tp580aRJkW,817158179599609856,,2,2,@ististmusic,,,https://twitter.com/NigelCarrUK/status/817158179599609856
2017-01-05 18:57:46,the silence is better,817158177045221376,,0,2,,,,https://twitter.com/daddylaurs/status/817158177045221376
2017-01-05 18:57:39,Crowd gathered around computer screen. Admission decision from Rocky Mountain CC. Cameras out. DENIED. Silence . Post on FB. End scene.,817158150172327936,,0,0,,,,https://twitter.com/ConOr_Pro/status/817158150172327936
2017-01-05 18:57:31,"Dark industrial band Itä-Saksa end their 16 year silence with ""Das Monument"" http:// bit.ly/2ijsBzj @ItaSaksa @inverserecords #MusicFinland pic.twitter.com/szAIzZAhlM",817158113883201536,,0,3,@ItaSaksa @inverserecords,#MusicFinland,,https://twitter.com/NordicSpotlight/status/817158113883201536
2017-01-05 18:57:25,The Silence of the Lambs (1991) pic.twitter.com/6dM1JRCm4t,817158091896684544,,4,9,,,,https://twitter.com/Ellie_Cunning/status/817158091896684544
2017-01-05 18:57:22,there is an edge.freedom.u can fly away or leave yourself on the ground.bw there or jump down.think in silence .no ones around,817158079435390977,,0,0,,,,https://twitter.com/evaluiskova/status/817158079435390977
2017-01-05 18:57:22,"Volumes are one thing, but cowardly silence to a polite question is far worse.",817158077015330817,,0,1,,,,https://twitter.com/MarvelBoy1305/status/817158077015330817
2017-01-05 18:57:20,My intuition is telling me there'll be better days I sit in silence I find whenever I meditate my fears alleviate my tears evaporate,817158070845448193,,0,1,,,,https://twitter.com/Papi_Shakky/status/817158070845448193
2017-01-05 18:57:16,There's a silence peace In the tragedies #Harmonizers #BestFanArmy #iHeartAwards,817158051786530816,,0,0,,#Harmonizers #BestFanArmy #iHeartAwards,,https://twitter.com/AtLeastInMyHead/status/817158051786530816
2017-01-05 18:57:14,On est en 2017 et il y a encore des gens qui pensent ça * silence * https:// twitter.com/Jafricanting/s tatus/816983893983100933 …,817158043251179520,,2,0,,,,https://twitter.com/bIuerhapsody/status/817158043251179520
2017-01-05 18:57:14,"I can't shut up because silence doesn't change things. I stand up for what I believe, as do you.",817158042760278016,,1,0,,,,https://twitter.com/StevenArthur99/status/817158042760278016
2017-01-05 18:57:11,move in silence,817158031511318528,,0,0,,,,https://twitter.com/lust_pinkk/status/817158031511318528
2017-01-05 18:57:05,Scorsese Has Plenty to Say in His Thoughtful Epic Silence http:// dlvr.it/N2p8WJ,817158006227898368,,0,1,,,,https://twitter.com/lonestareatin/status/817158006227898368
2017-01-05 18:57:03,Gostei de um vídeo @YouTube http:// youtu.be/YFD2PPAqNbw?aB eethoven … Silence,817157997348737025,,0,0,@YouTube,,,https://twitter.com/EtezinhoMN/status/817157997348737025
2017-01-05 18:57:01,How do you politely tell someone that they have terrible volume control? Or that you just want them to hush so you can sit in silence ?,817157990457442304,,0,0,,,,https://twitter.com/limesodalullaby/status/817157990457442304
