index,text,id,username,retweets,favorites,mentions,hashtags,geo,permalink
2017-01-03 17:22:49,i was like 5 and would sing the shit out of this song https:// twitter.com/jennaivee/stat us/816409297001254912 …,816409508536848385,,36,20,,,,https://twitter.com/abbyrosebudd/status/816409508536848385
2017-01-02 16:29:04,". @RebeccaFMusic has agreed to perform at Donald Trump's inauguration ceremony if she is allowed to sing ""Strange Fruit"". Amazing. pic.twitter.com/cErD4Zppfv",816033591780134912,,791,1281,@RebeccaFMusic,,,https://twitter.com/victoriasanusi/status/816033591780134912
2017-01-03 18:59:55,When I try to sing to @MadisonManor24 this is pretty how it goes https:// twitter.com/drakedaiiy/sta tus/815001654147895296 …,816433944979718144,,0,1,@MadisonManor24,,,https://twitter.com/Cole_House_2/status/816433944979718144
2017-01-03 18:59:54,I feel like I would cry a lot from happiness and announce my retirement from music since I can't sing at all. https:// twitter.com/jermainedesign /status/816376802377535489 …,816433937912315904,,0,1,,,,https://twitter.com/BrandiHillier/status/816433937912315904
2017-01-02 10:24:40,"donghyuk, can play the guitar, can dance, can sing , has A+ visuals, brainy af & ofcourse, an angel #AngelDonghyukDay pic.twitter.com/iOAijuyi3G",815941888322588672,,876,504,,#AngelDonghyukDay,,https://twitter.com/ikonoteven/status/815941888322588672
2017-01-03 18:59:47,"If a girl can sing you Kelsea Ballerini, she's a winner.",816433911903453184,,0,5,,,,https://twitter.com/Kroupnasty/status/816433911903453184
2017-01-03 18:59:47,For 1 dollar and less stocks $ BTGI $ MSTX $ VNR $ SUNEQ $ SING $ TPLM $ SYN $ XCO $ CRVW $ REXX $ CYTR $ TBIO $ DNN $ MGTI $ AVEO $ TWER $ LOV Nice bottom,816433908459966464,,1,3,,,,https://twitter.com/deafdaytrader/status/816433908459966464
2017-01-03 18:59:44,@Tithanias eh btw ost. hwarang sing di nyanyekne jin karo v asik yaaa,816433896401170432,,0,0,@Tithanias,,,https://twitter.com/liasel/status/816433896401170432
2017-01-03 18:59:43,@RebeccaFMusic Sorry to hear that you will sing at the Inauguration. Bad move.,816433893939154944,,0,0,@RebeccaFMusic,,,https://twitter.com/DonJoseph3/status/816433893939154944
2017-01-03 18:59:42,@careygirl19 we were just talking about how Vanessa should sing today!!! Omg.,816433888285298688,,0,1,@careygirl19,,,https://twitter.com/Rebecca13love/status/816433888285298688
2017-01-03 18:59:40,Sing was so good,816433880106311682,,0,0,,,,https://twitter.com/_skyyla/status/816433880106311682
2017-01-03 18:59:39,Can Honey G only sing about herself? Is that entertainment 2017? #CBBBOTS #cbb,816433875475898369,,0,1,,#CBBBOTS #cbb,,https://twitter.com/DaveDSu/status/816433875475898369
2017-01-03 18:59:34,wait can you sing ?,816433857591472128,,0,2,,,,https://twitter.com/IAmCryptt/status/816433857591472128
2017-01-03 18:59:32,"BUT WHY IS IT CALLED ""HEY BOY HEY GIRL"" WHEN THEY SING ""HEY GIRL HEY BOY"" THIS QUESTION HAUNTS ME",816433847583674368,,0,0,,,,https://twitter.com/razsolo/status/816433847583674368
2017-01-03 18:59:30,'we sing all day + we live in a factory' http:// fb.me/6qMublLvm,816433837508988928,,0,0,,,,https://twitter.com/MahoganyIntl/status/816433837508988928
2017-01-03 18:59:29,sing . But it was awwwwwfullll,816433834631843841,,0,0,,,,https://twitter.com/DanJMoran/status/816433834631843841
2017-01-03 18:59:29,Rebecca Ferguson says she'll sing at Trump inauguration under one condition - CNN https:// apple.news/AgNbQM6SaQ8yRd 2NKNvww4w …,816433833369337860,,0,0,,,,https://twitter.com/bethschwab14/status/816433833369337860
2017-01-03 18:59:28,I want to go to a place where I can hear the birds sing and the leaves hustling.,816433832551321600,,0,0,,,,https://twitter.com/Jphttngr/status/816433832551321600
2017-01-03 18:59:27,Box Office: ‘Rogue One’ Kicks Off 2017 With $790 Million Worldwide https://www. rickey.org/?p=299956 #StarWars #RogueOne #Sing #Passengers #LaLaLand,816433826318663680,,1,1,,#StarWars #RogueOne #Sing #Passengers #LaLaLand,,https://twitter.com/TheRomanNick/status/816433826318663680
