index,text,id,username,retweets,favorites,mentions,hashtags,geo,permalink
2017-01-26 18:59:58,"Who wanna see Split, Sleepless , or Hidden Figures with me tomorrow ?",824768879519899649,,0,0,,,,https://twitter.com/ShowTime_Mane/status/824768879519899649
2017-01-26 18:59:56,I'll be having sleepless nights over that tweet.,824768867524366338,,0,0,,,,https://twitter.com/DaveMUFC16/status/824768867524366338
2017-01-26 18:58:20,Scared. Worried. Stressed. Slightly panicked. &depressed. It's gonna be a lovely sleepless night.,824768465449996292,,0,2,,,,https://twitter.com/poisonedscumbag/status/824768465449996292
2017-01-26 18:56:44,Sleepless nights? They worked in shifts...lol,824768065657257986,,0,1,,,,https://twitter.com/wolverines_dad/status/824768065657257986
2017-01-26 18:56:26,Same https:// twitter.com/kadiesmiles098 /status/824723691938390016 …,824767989731897344,,0,1,,,,https://twitter.com/sleepless_liebe/status/824767989731897344
2017-01-26 18:55:31,Who wants to go see sleepless wit DA kid .,824767759057879040,,0,0,,,,https://twitter.com/Full_Throttle21/status/824767759057879040
2017-01-26 18:53:24,so u just decided to give me a sleepless night wow ok,824767225768837121,,0,0,,,,https://twitter.com/shawnvirolo/status/824767225768837121
2017-01-26 18:52:34,@iamjamiefoxx #sleepless Movie WOW Fabulous movie I couldn't sit still-so Action packed! pic.twitter.com/MSy5iuwxM6,824767015449616384,,0,0,@iamjamiefoxx,#sleepless,,https://twitter.com/pajamamama1/status/824767015449616384
2017-01-26 18:52:29,#Bella https://www. facebook.com/sleeplessocean /posts/1603709399645019 … #love #sleepless _ocean #poetry #beauty #Romance #poem #nature #whales #dolphins #world #wonder #faith #sweet,824766993492541440,,1,1,,#Bella #love #sleepless #poetry #beauty #Romance #poem #nature #whales #dolphins #world #wonder #faith #sweet,,https://twitter.com/sleepless_ocean/status/824766993492541440
2017-01-26 18:52:25,And B is 3 weeks today lol seriously don't mind the sleepless nights she's worth it,824766977755402240,,0,2,,,,https://twitter.com/Stormmizzzzle/status/824766977755402240
2017-01-26 18:51:40,From 62kg to 56kg. Thank you Stress thank you sleepless nights!,824766787799642114,,0,0,,,,https://twitter.com/katwister/status/824766787799642114
2017-01-26 18:51:18,I love @flumemusic sleepless,824766697487884288,,0,0,@flumemusic,,,https://twitter.com/twftbiebs/status/824766697487884288
2017-01-26 18:50:52,Another night of Sleepless in Southall starring me. Whoop,824766587685240832,,0,0,,,,https://twitter.com/_agirlcalledraj/status/824766587685240832
2017-01-26 18:47:45,Let It Go - The Last Sleepless City,824765803807379456,,0,0,,,,https://twitter.com/AriefStriker/status/824765803807379456
2017-01-26 18:41:41,SLEEPLESS NIGHTS AND PANIC ATTACKS ARE LOVELY.,824764278334959617,,0,0,,,,https://twitter.com/ThreeEyedStark/status/824764278334959617
2017-01-26 18:41:00,Sun of the Sleepless - Romanze zur Nacht https:// youtu.be/j2qK3Nim0s0,824764105290547201,,0,0,,,,https://twitter.com/r_blackmetal/status/824764105290547201
2017-01-26 18:40:45,Another sleepless night.,824764043365801985,,0,3,,,,https://twitter.com/hong020525/status/824764043365801985
2017-01-26 18:40:06,"“Kinion will have to pay $3,317,893 in compensation to the US government.” Some of those in EPA might have sleepless nights. https:// twitter.com/nmrqip/status/ 824758555672793091 …",824763877405626368,,1,3,,,,https://twitter.com/MhehedZherting/status/824763877405626368
2017-01-26 18:39:32,"i can't have another sleepless night i just want to be able to sleep,, please.",824763736271548416,,0,3,,,,https://twitter.com/cl0ud_b0y/status/824763736271548416
2017-01-26 18:39:07,Another morning comes to me with mourning feelings. Your absence might be rising up sun and down onwards also. Sleepless night! Missing you.,824763628280696837,,0,0,,,,https://twitter.com/ab_siddique13/status/824763628280696837
2017-01-26 18:37:49,Here comes the sleepless nights https:// twitter.com/ninadobrev/sta tus/824697753204850688 …,824763302509109250,,0,0,,,,https://twitter.com/serinurinas/status/824763302509109250
2017-01-26 18:37:05,I've had such a lovely evening with my friend. Sleep is well overdue after a couple of sleepless nights. Night folks xxx,824763118706364421,,0,1,,,,https://twitter.com/anitaspeake/status/824763118706364421
2017-01-26 18:36:56,The remakes of 2011 French movie Nuit Blanche( Sleepless Night) #thoongavanam #sleepless #kollywood #hollywood,824763082685763585,,0,0,,#thoongavanam #sleepless #kollywood #hollywood,,https://twitter.com/gunNesh33/status/824763082685763585
2017-01-26 18:36:38,Sleepless nights. Good morning!,824763004847730689,,0,0,,,,https://twitter.com/jhennievillar/status/824763004847730689
2017-01-26 18:36:08,ikr boring weather lately might change to sleepless night,824762879018676225,,0,2,,,,https://twitter.com/MassachusettsWx/status/824762879018676225
2017-01-26 18:35:19,so funny how we all going through this. Just wait for the sleepless nights!,824762674676428800,,0,0,,,,https://twitter.com/Eddie_Yu/status/824762674676428800
2017-01-26 18:33:24,Praying it's not another sleepless night,824762190842515456,,0,0,,,,https://twitter.com/LilyTheLostGirl/status/824762190842515456
2017-01-26 18:33:22,"Motorcycle COP of Candelaria MPS sleepless night in conducting patrolling in different Banks, money remittance,... http:// fb.me/1LFS6GJWP",824762185075269632,,0,0,,,,https://twitter.com/Candelaria_Pnp/status/824762185075269632
