index,text,id,username,retweets,favorites,mentions,hashtags,geo,permalink
2017-07-06 19:57:28,Η Αποπλάνηση ( The Beguiled ) - Review / Κριτική https:// goo.gl/fb/95VCjq,883112696463413248,,0,1,,,,https://twitter.com/moviesltd/status/883112696463413248
2017-07-06 19:56:50,Enter 4 a chance 2 win a #TheBeguiled Prize Pack! #sweepstakes (5 winners) http://www. enzasbargains.com/beguiled-revie w-prize-pack-giveaway-5-winners/ …,883112535049809920,,0,0,,#TheBeguiled #sweepstakes,,https://twitter.com/fowler121600/status/883112535049809920
2017-07-06 19:54:55,"Also finally saw The Beguiled . It makes so much that the eternally insipid Elle Fanning plays the bad girl. No fangs, just caps for Coppola.",883112055007567872,,0,1,,,,https://twitter.com/rosmance/status/883112055007567872
2017-07-06 19:50:58,"i'm sitting in my room, thinking about how much i love THE BEGUILED (2017) & nicole kidman",883111059565019136,,0,0,,,,https://twitter.com/tbanksofficial/status/883111059565019136
2017-07-06 19:48:44,"Continuing Friday 7th July "" The Beguiled "" (R) 93 minutes Daily at: 1:30 3:45 6:00 Extra show Friday &... http:// fb.me/6WE6GhLdu",883110496265744388,,0,0,,,,https://twitter.com/Preloggy/status/883110496265744388
2017-07-06 19:47:50,Go Damien. Go @MillChannel . Trailer is stunning. Can't wait to appreciate its full glory on the big screen. Thanks @miss_at,883110268313759744,,0,2,@MillChannel @miss_at,,,https://twitter.com/cinechild/status/883110268313759744
2017-07-06 19:45:03,"Hey Grace,how does The Beguiled fare as a family film? My mom is interested, should I be worried about shocking nudity/explicit sex ?",883109569790193664,,0,0,,,,https://twitter.com/Ada_Al_Omar/status/883109569790193664
2017-07-06 19:44:05,I love the beguiled,883109327636021248,,0,0,,,,https://twitter.com/pansaralance/status/883109327636021248
2017-07-06 19:38:52,"Has anyone seen "" the beguiled "" ?? Is it good",883108011924873216,,0,0,,,,https://twitter.com/lauren1171/status/883108011924873216
2017-07-06 19:35:24,I rated The Beguiled (2017) 5/10 #IMDb http://www. imdb.com/title/tt5592248,883107143217446912,,0,0,,#IMDb,,https://twitter.com/hamsterkitten/status/883107143217446912
2017-07-06 19:35:24,#TheBeguiled I dig it.,883107142525386752,,0,4,,#TheBeguiled,,https://twitter.com/VandyPrice/status/883107142525386752
2017-07-06 19:33:35,8. Guardians of the Galaxy Vol. 2 9. The Beguiled 10. Life,883106685820309505,,0,0,,,,https://twitter.com/vanilla_chief/status/883106685820309505
2017-07-06 19:30:17,A ★★★½ review of The Beguiled (2017) by @drgonzoraoul on @letterboxd : https:// boxd.it/illxp,883105851715854336,,1,2,@drgonzoraoul @letterboxd,,,https://twitter.com/Arielrocks5/status/883105851715854336
2017-07-06 19:30:13,◆全米デイリーTOP10 [7/5] [順] 10位 [題] THE BEGUILED (2017) Focus Features #BoxOffice #映画 pic.twitter.com/JNR4cS3ciF,883105839027863552,,0,0,,#BoxOffice #映画,,https://twitter.com/movrank/status/883105839027863552
2017-07-06 19:29:22,Hi Will - Damien from the Mill NY did the colour grade for the film @cinechild,883105620949442560,,0,1,@cinechild,,,https://twitter.com/miss_at/status/883105620949442560
2017-07-06 19:28:36,"To sum up my thoughts about “ The Beguiled ”: Man, I really wish I’d seen “Baby Driver” a second time instead.",883105431135993857,,0,0,,,,https://twitter.com/BrennahKelly/status/883105431135993857
2017-07-06 19:25:11,The Beguiled Tintype Photos Showcase the Cast in Black and White - http:// movienewshub.com/the-beguiled-t intype-photos-showcase-the-cast-in-black-and-white/ …,883104570938986497,,0,0,,,,https://twitter.com/celebimgs/status/883104570938986497
2017-07-06 19:23:58,I just entered to #win a @beguiledmovie prize package from @Week99er and #TheBeguiled https:// goo.gl/EhAPzZ,883104265329311745,,0,0,@beguiledmovie @Week99er,#win #TheBeguiled,,https://twitter.com/brownsaraj/status/883104265329311745
2017-07-06 19:23:52,About to see The Beguiled with @mjkimbrough @RagtagCinema pic.twitter.com/u7bOTFQseJ,883104238787842048,,0,0,@mjkimbrough @RagtagCinema,,,https://twitter.com/launce3mustoe/status/883104238787842048
2017-07-06 19:23:39,I just entered to #win a @beguiledmovie prize package from @Week99er and #TheBeguiled http:// week99er.com/new/enter-to-w in-a-prize-pack-from-the-beguiled/ …,883104184232443905,,0,0,@beguiledmovie @Week99er,#win #TheBeguiled,,https://twitter.com/brownsaraj/status/883104184232443905
