index,text,id,username,retweets,favorites,mentions,hashtags,geo,permalink
2017-11-02 19:59:38,Sakura's better.. obviously. The stroke is smooth and stabil. better stroke result than snowman That's personal opinion tho. https:// twitter.com/MissMahar/stat us/926236513691615232 …,926237394784870400,,0,0,,,,https://twitter.com/ahnodesu/status/926237394784870400
2017-11-02 19:54:26,The Knitty Keen Etsy shop is open again! This snowman ornament and pattern are only some of the things you can expect! pic.twitter.com/bvFLxxG4GG,926236088527720452,,0,0,,,,https://twitter.com/Knittykeen/status/926236088527720452
2017-11-02 19:46:23,Frosty the Snowman - Weihnachtslieder - Alto Saxophon + Playback: http:// youtu.be/Vrbyq7MecTw?a über @YouTube,926234061139513344,,0,0,@YouTube,,,https://twitter.com/schattenpfote/status/926234061139513344
2017-11-02 19:44:48,Ottertooth will be replaced with the Abysmal Snowman,926233664479825920,,0,3,,,,https://twitter.com/FidTradZ101/status/926233664479825920
2017-11-02 19:43:39,Music from @SwitchbackFilms 's 2015 movie Snowman . Waves by Portugal. The Man #ski #skimoviemusic #music https:// geo.itunes.apple.com/us/album/waves /id613557623?i=613559184&at=1001lqaL&mt=1&app=itunes …,926233375526055937,,0,0,@SwitchbackFilms,#ski #skimoviemusic #music,,https://twitter.com/SkiMovieMusic/status/926233375526055937
2017-11-02 19:42:49,You know Christmas is near when Frosty the Snowman is playing! #thanksgivinghasnthappenedyet,926233162039959552,,0,0,,#thanksgivinghasnthappenedyet,,https://twitter.com/vairin_hanna/status/926233162039959552
2017-11-02 19:29:12,WLFS Festive Season Concerts The Snowman 1 December @St Paul'sW6 https://www. ticketsource.co.uk/date/414890 (afternoon) & https://www. ticketsource.co.uk/date/414893 (pm),926229737453883393,,1,3,@St,,,https://twitter.com/WLFSPTA/status/926229737453883393
2017-11-02 19:23:45,@ENGL1102TechnoC snowman with an injured leg vs the pigoons w their short height seems like an even fight-both can think like a human,926228367099219968,,1,0,@ENGL1102TechnoC,,,https://twitter.com/niveda_cs/status/926228367099219968
2017-11-02 19:22:14,This snowman : not in the film pic.twitter.com/IpQ57EKF0E,926227984800993281,,0,1,,,,https://twitter.com/CineFeline/status/926227984800993281
2017-11-02 19:21:35,This snowman : pretty sure not in the film pic.twitter.com/G6smRC4ai3,926227819050471424,,0,1,,,,https://twitter.com/CineFeline/status/926227819050471424
