index,text,id,username,retweets,favorites,mentions,hashtags,geo,permalink
2017-06-15 19:59:59,@2MDRIP_ was Wonder Woman any good,875503184298602497,,0,0,@2MDRIP_,,,https://twitter.com/1_dtae/status/875503184298602497
2017-06-15 19:59:58,#GayForGadot #WonderWoman,875503180544716800,,0,1,,#GayForGadot #WonderWoman,,https://twitter.com/tiramisuuz/status/875503180544716800
2017-06-15 19:59:58,#WONDERWOMAN ROUND 2,875503177692364800,,1,3,,#WONDERWOMAN,,https://twitter.com/Thesaltypsych/status/875503177692364800
2017-06-14 06:45:07,"“Eso es de la mujer maravilla, wonder woman , pero con cuarzo entonces está muy cañón esta onda.” A mí me encantó, @LuceroMexico . pic.twitter.com/ws5TG8PPQc",874940759287451648,,27,22,@LuceroMexico,,,https://twitter.com/NPudisteAmarAsi/status/874940759287451648
2017-06-15 19:59:57,"Sinceramente achei Wonder Woman bom, mas não superou minha expectativa.",875503175020806144,,0,0,,,,https://twitter.com/alinepaparotto/status/875503175020806144
2017-06-15 19:59:57,@GalGadot @PattyJenks @akasan @HumzaTime Saw #WonderWoman last night. Very faithful adaption! Couldnt ask for a better version. pic.twitter.com/TpVauv5MeY,875503173066043392,,2,4,@GalGadot @PattyJenks @akasan @HumzaTime,#WonderWoman,,https://twitter.com/seriousgamerk/status/875503173066043392
2017-06-15 19:59:56,They should've brought Rupert Gregson Williams to score Justice League. His score in WonderWoman was incredible,875503171686117379,,0,3,,,,https://twitter.com/jmiechi96/status/875503171686117379
2017-06-15 19:59:55,I HAVE ONLY ONE THING TO SAY ABOUT WONDER WOMAN : QUE HINOOOOOOOOOOOO,875503166007234564,,0,0,,,,https://twitter.com/THWCOLDWHO/status/875503166007234564
2017-06-15 19:59:53,@Whataburger wonder woman came first pic.twitter.com/lpDDjT3Zso,875503156838498305,,0,0,@Whataburger,,,https://twitter.com/PegsRavioli/status/875503156838498305
2017-06-15 15:43:53,Who wins? RT Wonder Woman LIKE Thor pic.twitter.com/pl5zyLpxMp,875438735067951105,,2149,1049,,,,https://twitter.com/ComicBookTalks/status/875438735067951105
2017-06-15 02:30:25,Finally got to see #WonderWoman this weekend and had to draw her. pic.twitter.com/35xdQMX8Pf,875239052777107456,,4868,13156,,#WonderWoman,,https://twitter.com/ArtOfLaurenM/status/875239052777107456
2017-06-15 19:59:47,"I liked a @YouTube video http:// youtu.be/bMfp6jTAEqc?a SPIDER-MAN HOMECOMING, WONDER WOMAN , THE MUMMY",875503133467840512,,0,0,@YouTube,,,https://twitter.com/JonahtheNomad/status/875503133467840512
