Rank	Movie	"Release
Date"	Until Date	Distributor	Genre	MPAA	2017 Gross	Tickets Sold
1	Beauty and the Beast	3/17/2017	3/31/2017	Walt Disney	Musical	PG	"$504,014,165 "	"56,630,805"
2	Wonder Woman	6/2/2017	6/16/2017	Warner Bros.	Action	PG-13	"$412,563,408 "	"46,355,439"
3	Guardians of the Galaxy Vol 2	5/5/2017	5/19/2017	Walt Disney	Action	PG-13	"$389,813,101 "	"43,799,224"
4	Spider-Man: Homecoming	7/7/2017	7/21/2017	Sony Pictures	Action	PG-13	"$334,198,153 "	"37,550,354"
5	It	9/8/2017	9/22/2017	Warner Bros.	Horror	R	"$327,235,912 "	"36,768,080"
6	Thor: Ragnarok	11/3/2017	11/17/2017	Walt Disney	Action	PG-13	"$284,433,599 "	"31,958,831"
7	Despicable Me 3	6/30/2017	7/14/2017	Universal	Adventure	PG	"$264,426,440 "	"29,710,835"
8	Logan	3/3/2017	3/17/2017	20th Century Fox	Action	R	"$226,277,068 "	"25,424,389"
9	The Fate of the Furious	4/14/2017	4/28/2017	Universal	Action	PG-13	"$225,764,765 "	"25,366,827"
10	Dunkirk	7/21/2017	8/4/2017	Warner Bros.	Action	PG-13	"$188,045,546 "	"21,128,713"
11	Justice League	11/17/2017	12/1/2017	Warner Bros.	Action	PG-13	"$185,330,921 "	"20,823,698"
12	The Lego Batman Movie	2/10/2017	2/24/2017	Warner Bros.	Adventure	PG	"$175,750,384 "	"19,747,234"
13	Get Out	2/24/2017	3/10/2017	Universal	Horror	R	"$175,484,140 "	"19,717,319"
14	The Boss Baby	3/31/2017	4/14/2017	20th Century Fox	Adventure	PG	"$175,003,033 "	"19,663,262"
15	Pirates of the Caribbean: Dead Men Tell No Tales	5/26/2017	6/9/2017	Walt Disney	Adventure	PG-13	"$172,558,876 "	"19,388,637"
16	Kong: Skull Island	3/10/2017	3/24/2017	Warner Bros.	Adventure	PG-13	"$168,052,812 "	"18,882,338"
17	Hidden Figures	12/25/2016	1/8/2017	20th Century Fox	Drama	PG	"$167,062,379 "	"18,771,053"
18	Cars 3	6/16/2017	6/30/2017	Walt Disney	Adventure	G	"$152,901,115 "	"17,179,900"
19	War for the Planet of the Apes	7/14/2017	7/28/2017	20th Century Fox	Action	PG-13	"$146,880,162 "	"16,503,388"
20	Split	1/20/2017	2/3/2017	Universal	Horror	PG-13	"$138,141,585 "	"15,521,526"
21	Transformers: The Last Knight	6/21/2017	7/5/2017	Paramount Pictures	Action	PG-13	"$130,168,683 "	"14,625,694"
22	La La Land	12/9/2016	12/23/2016	Lionsgate	Musical	PG-13	"$116,833,190 "	"13,127,324"
23	Girls Trip	7/21/2017	8/4/2017	Universal	Comedy	R	"$115,108,515 "	"12,933,541"
24	Fifty Shades Darker	2/10/2017	2/24/2017	Universal	Drama	R	"$114,434,010 "	"12,857,753"
25	Baby Driver	6/28/2017	7/12/2017	Sony Pictures	Thriller/Suspense	R	"$107,816,745 "	"12,114,241"
26	Rogue One: A Star Wars Story	12/16/2016	12/30/2016	Walt Disney	Adventure	PG-13	"$107,189,617 "	"12,043,777"
27	Sing	12/21/2016	1/4/2017	Universal	Adventure	PG	"$103,831,225 "	"11,666,429"
28	Annabelle: Creation	8/11/2017	8/25/2017	Warner Bros.	Horror	R	"$102,092,201 "	"11,471,033"
29	Kingsman: The Golden Circle	9/22/2017	10/6/2017	20th Century Fox	Action	R	"$99,985,414 "	"11,234,316"
30	John Wick: Chapter Two	2/10/2017	2/24/2017	Lionsgate	Action	R	"$92,029,184 "	"10,340,357"
31	Blade Runner 2049	10/6/2017	10/20/2017	Warner Bros.	Thriller/Suspense	R	"$90,383,762 "	"10,155,478"
32	Coco	11/22/2017	12/6/2017	Walt Disney	Adventure	PG	"$88,851,404 "	"9,983,303"
33	The Emoji Movie	7/28/2017	8/11/2017	Sony Pictures	Adventure	PG	"$86,087,381 "	"9,672,739"
34	Power Rangers	3/24/2017	4/7/2017	Lionsgate	Action	PG-13	"$85,364,450 "	"9,591,511"
35	The Mummy	6/9/2017	6/23/2017	Universal	Adventure	PG-13	"$80,101,125 "	"9,000,126"
36	Murder on the Orient Express	11/10/2017	11/24/2017	20th Century Fox	Drama	PG-13	"$80,072,513 "	"8,996,911"
37	Wonder	11/17/2017	12/1/2017	Lionsgate	Drama	PG	"$79,132,623 "	"8,891,305"
38	Daddy’s Home 2	11/10/2017	11/24/2017	Paramount Pictures	Comedy	PG-13	"$77,399,446 "	"8,696,566"
39	The Hitman’s Bodyguard	8/18/2017	9/1/2017	Lionsgate	Action	R	"$75,468,583 "	"8,479,616"
40	Alien: Covenant	5/19/2017	6/2/2017	20th Century Fox	Horror	R	"$74,262,031 "	"8,344,048"
41	Captain Underpants: The First Epic Movie	6/2/2017	6/16/2017	20th Century Fox	Adventure	PG	"$73,921,000 "	"8,305,730"
42	A Dog’s Purpose	1/27/2017	2/10/2017	Universal	Drama	PG	"$64,321,890 "	"7,227,178"
43	A Bad Moms Christmas	11/1/2017	11/15/2017	STX Entertainment	Comedy	R	"$62,481,823 "	"7,020,429"
44	The Lego Ninjago Movie	9/22/2017	10/6/2017	Warner Bros.	Adventure	PG	"$59,281,555 "	"6,660,848"
45	Baywatch	5/25/2017	6/8/2017	Paramount Pictures	Comedy	R	"$58,060,186 "	"6,523,616"
46	The Shack	3/3/2017	3/17/2017	Lionsgate	Drama	PG-13	"$57,386,418 "	"6,447,912"
47	Happy Death Day	10/13/2017	10/27/2017	Universal	Thriller/Suspense	PG-13	"$55,587,750 "	"6,245,814"
48	Atomic Blonde	7/28/2017	8/11/2017	Focus Features	Thriller/Suspense	R	"$51,573,925 "	"5,794,823"
49	American Made	9/29/2017	10/13/2017	Universal	Thriller/Suspense	R	"$51,231,725 "	"5,756,373"
50	The Dark Tower	8/4/2017	8/18/2017	Sony Pictures	Western	PG-13	"$50,692,621 "	"5,695,800"
51	Tyler Perry’s Boo 2! A Madea Halloween	10/20/2017	11/3/2017	Lionsgate	Comedy	PG-13	"$47,058,878 "	"5,287,514"
52	Snatched	5/12/2017	5/26/2017	20th Century Fox	Comedy	R	"$45,852,178 "	"5,151,930"
53	Lion	11/25/2016	12/9/2016	Weinstein Co.	Drama	PG-13	"$45,623,058 "	"5,126,186"
54	The Great Wall	2/17/2017	3/3/2017	Universal	Action	PG-13	"$45,157,105 "	"5,073,832"
55	Going in Style	4/7/2017	4/21/2017	Warner Bros.	Comedy	PG-13	"$45,018,541 "	"5,058,263"
56	Smurfs: The Lost Village	4/7/2017	4/21/2017	Sony Pictures	Adventure	PG	"$45,011,202 "	"5,057,438"
57	All Eyez on Me	6/16/2017	6/30/2017	Lionsgate	Drama	R	"$44,922,302 "	"5,047,449"
58	xXx: Return of Xander Cage	1/20/2017	2/3/2017	Paramount Pictures	Action	PG-13	"$44,898,413 "	"5,044,765"
59	47 Meters Down	6/16/2017	6/30/2017	Entertainment Studios Motion Pictures	Horror	PG-13	"$44,307,193 "	"4,978,336"
60	The Big Sick	6/23/2017	7/7/2017	Lionsgate	Romantic Comedy	R	"$42,872,467 "	"4,817,131"
61	Ghost in the Shell	3/31/2017	4/14/2017	Paramount Pictures	Action	PG-13	"$40,563,557 "	"4,557,703"
