Movie,Polarity,Budget(in mil),Collection
20th_century_women,0.115242686,7,6
,,,
all_eyez_on_me,0.066804817,40,45
,,,
all_saints,0.093782217,2,5
,,,
american_made,0.089396384,50,52
,,,
a_cure_for_wellness,0.044374697,40,26
,,,
battle_of_the_sexes,0.117647385,20,13
,,,
baywatch,0.066896543,69,177
,,,
beauty_and_the_beast,0.135390804,160,504
,,,
birth_of_the_dragon,0.056192962,31,7
,,,
born_in_china,0.12724139,,25
,,,
cars_3,0.104595742,175,385
,,,
chips,0.099001069,25,27
,,,
coco,0.068807688,200,287
,,,
collateral_beauty,0.175111428,40,90
,,,
despicable_me_3,0.072339644,80,1000
,,,
dunkirk,0.098216129,100,525
,,,
fantastic_beasts_and_where_to_find_them,0.095734353,180,810
,,,
fences,0.172925227,24,65
,,,
fist_fight,0.105025705,25,42
,,,
flatliners,0.057158921,19,38
,,,
geostorm,0.094601301,120,200
,,,
get_out,0.062897908,5,250
,,,
ghost_in_the_shell,0.052871375,110,170
,,,
girls_trip,0.128136782,137,19
,,,
gold,0.061648531,20,12
,,,
guardians_of_the_galaxy_vol_2,0.076060001,200,800
,,,
hidden_figures,0.095846652,25,230
,,,
how_to_be_a_latin_lover,0.085540382,10,62
,,,
it,0.09041859,35,670
,,,
justice_league,0.094816528,300,560
,,,
leap!,0.091045699,30,106
,,,
let_there_be_light,0.381810135,3,7
,,,
life,0.099362585,58,100
,,,
lion,0.049752426,12,140
,,,
live_by_night,0.193367822,65,22
,,,
logan,0.060342433,97,600
,,,
logan_lucky,0.159144508,30,45
,,,
loving_vincent,0.354847853,5,5
,,,
manchester-by-the_sea,0.280986729,8.5,77
,,,
marshall,0.06283529,12,8.5
,,,
maudie,0.075685209,5,9
,,,
moana,0.11893644,150,650
,,,
monster_trucks,0.185295193,125,64
,,,
moonlight,0.061198047,2,65
,,,
mother!,0.058829954,30,45
,,,
only_the_brave,0.656196779,38,30
,,,
passengers,0.083155133,100,300
,,,
patriots_day,0.07879557,45,50
,,,
power_rangers,0.061167132,100,142
,,,
same_kind_of_different_as_me,0.55145997,6,6
,,,
silence,0.058994968,50,30
,,,
sing,0.086392719,75,600
,,,
sleepless,0.049365384,30,33
,,,
the_beguiled,0.106671226,10,28
,,,
the_belko_experiment,0.0556303,5,11
,,,
the_boss_baby,0.070124981,125,500
,,,
the_bye_bye_man,0.024299195,7,20
,,,
the_circle,0.0586009,18,40
,,,
the_emoji_movie,-0.132614178,50,216
,,,
the_fate_of_the_furious,0.137368864,250,1100
,,,
the_founder,0.059733262,25,24
,,,
the_great_wall,0.576319578,150,334
,,,
the_house,0.069155995,40,34
,,,
the_lego_batman_movie,0.149990532,80,312
,,,
the_lego_ninjago_movie,0.05013719,70,120
,,,
the_lost_city_of_z,0.098821493,30,17
,,,
the_promise,0.086907108,90,10
,,,
the_snowman,0.07190964,35,39
,,,
the_star,0.093723873,20,29
,,,
unforgettable,0.102039332,12,18
,,,
victoria_and_abdul,0.143645013,25,60
,,,
war_for_the_planet_of_the_apes,0.106414347,150,490
,,,
wish_upon,0.122778111,12,20
,,,
wonder,0.054850129,20,102
,,,
wonder_woman,0.12172093,149,822
